time [s],Chamber Pressure [Pa],Tank Pressure [Pa],Oxidizer Mass Flow Rate [kg/s],Oxidizer mass consumption [kg],Oxidizer Residual Volume [m^3],Fuel mass flow rate [kg/s],Fuel Mass Consumption [kg],"Fuel Port Diameter [,]",Oxidizer Mass Flux [kg/m^3],Fuel Regression Rate [m/s],Nozzle Throat Diameter [m],Nozzle Exit Pressure [Pa],Thrust Coefficient,Specific Exhaust Velocity [m/s],O/F,Thrust [N],Total Impulse [N-s]
t,Pc,Pt,mox,Mox,Vox,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0,3023949.088,10000000,2.307378538,0,0.01,0.590111452,0,0.0700535,598.6449053,0.006169708,0.0377,111060.1878,1.676830093,1164.986929,3.910087516,7152.118258,0
0.01,3008869.902,9905748.869,2.294246364,0.023008125,0.009980665,0.58791916,0.005890153,0.070107003,594.3296144,0.006142096,0.0377,110507.1661,1.676831495,1165.344893,3.902325637,7116.459549,71.34288903
0.02,2994028.7,9813433.257,2.281324053,0.045885627,0.009961441,0.585756601,0.011758482,0.070160508,590.0810232,0.006114837,0.0377,109962.8701,1.676832885,1165.697931,3.89467176,7081.363598,142.3310668
0.03,2979412.653,9722989.961,2.268605229,0.068635279,0.009942323,0.583622919,0.017605381,0.070214016,585.8971953,0.00608792,0.0377,109427.1298,1.676834803,1166.047827,3.88711749,7046.802332,212.9719199
0.04,2965017.199,9634364.153,2.256084743,0.091258393,0.009923312,0.581517449,0.023431035,0.070267527,581.7765231,0.006061338,0.0377,108899.7431,1.676837192,1166.395155,3.879660482,7012.764704,283.2688589
0.05,2950836.724,9547497.72,2.243757071,0.113757612,0.009904405,0.579439459,0.029235821,0.07032104,577.7173117,0.006035082,0.0377,108380.3827,1.676839842,1166.740029,3.872298425,6979.23652,353.2289003
0.06,2936865.684,9462340.298,2.231617686,0.136134162,0.009885602,0.577388368,0.035019914,0.070374556,573.7181316,0.006009146,0.0377,107868.7709,1.676842619,1167.082319,3.865029347,6946.204113,422.8552419
0.07,2923098.148,9378838.292,2.219661553,0.158390572,0.009866899,0.575363507,0.040783675,0.070428075,569.7774318,0.005983522,0.0377,107364.7275,1.676845594,1167.421823,3.85785112,6913.653734,492.1545778
0.08,2909528.822,9296945.354,2.207884494,0.18052799,0.009848296,0.57336434,0.046527269,0.070481596,565.8938898,0.005958204,0.0377,106868.2226,1.676849072,1167.758349,3.850761912,6881.574105,561.1298858
0.09,2896152.372,9216611.964,2.196281776,0.202548839,0.009829791,0.571390236,0.052251045,0.07053512,562.0660487,0.005933184,0.0377,106379.3297,1.676853555,1168.091806,3.843759692,6849.95464,629.787585
0.1,2882964.014,9137795.403,2.184849486,0.224454193,0.009811383,0.56944069,0.057955156,0.070588647,558.2926692,0.005908457,0.0377,105898.0784,1.676859438,1168.422106,3.836842697,6818.785572,698.1304799
0.11,2869958.599,9060449.846,2.173583231,0.246246378,0.00979307,0.567515113,0.063639938,0.070642177,554.5723971,0.005884015,0.0377,105424.2343,1.676866654,1168.749079,3.830009035,6788.054378,766.1647456
0.12,2857131.627,8984535.856,2.162479386,0.267926399,0.009774852,0.565613036,0.069305537,0.070695709,550.9040816,0.005859854,0.0377,104957.4767,1.67687493,1169.072589,3.823257097,6757.74925,833.8929877
0.13,2844478.404,8910010.952,2.15153382,0.28949649,0.009756726,0.563733905,0.074952275,0.070749243,547.2864492,0.005835966,0.0377,104497.406,1.676883851,1169.392539,3.816585081,6727.857369,901.3210974
0.14,2831994.782,8836838.676,2.140743145,0.310957592,0.009738691,0.561877279,0.08058029,0.070802781,543.7184234,0.005812347,0.0377,104043.6017,1.67689292,1169.70883,3.809991462,6698.366902,968.4514731
0.15,2819676.337,8764979.59,2.130103495,0.332311853,0.009720746,0.560042636,0.086189893,0.070856321,540.1988115,0.005788991,0.0377,103595.6335,1.676901627,1170.021355,3.803474544,6669.265369,1035.289721
0.16,2807519.099,8694399.939,2.11961173,0.353560155,0.009702891,0.558229568,0.091781214,0.070909864,536.7266125,0.005765893,0.0377,103153.1336,1.676909545,1170.329963,3.797032915,6640.541706,1101.83804
0.17,2795518.719,8625063.053,2.109264258,0.374704566,0.009685122,0.556437589,0.097354554,0.070963409,533.300716,0.005743047,0.0377,102715.8396,1.676916467,1170.634453,3.790664994,6612.184855,1168.101769
0.18,2783671.703,8556937.637,2.099058124,0.395745911,0.00966744,0.554666314,0.102910035,0.071016958,529.9201794,0.005720449,0.0377,102283.6689,1.676922465,1170.934743,3.784369489,6584.186895,1234.082933
0.19,2771974.695,8489989.544,2.088989816,0.416686185,0.009649844,0.552915261,0.108447948,0.071070508,526.5839247,0.005698093,0.0377,101856.6078,1.676927739,1171.231027,3.7781448,6556.540714,1299.786674
0.2,2760424.824,8424189.731,2.079056481,0.437526157,0.009632331,0.551184053,0.113968406,0.071124062,523.2910461,0.005675975,0.0377,101434.6724,1.676932513,1171.523489,3.771989592,6529.240439,1365.214901
0.21,2749018.99,8359506.363,2.069254811,0.458267751,0.009614901,0.549472236,0.119471693,0.071177618,520.0405281,0.00565409,0.0377,101017.8557,1.676936989,1171.812329,3.765902366,6502.279544,1430.372608
0.22,2737754.59,8295912.45,2.059582123,0.478911683,0.009597553,0.547779455,0.124957915,0.071231177,516.8315187,0.005632433,0.0377,100606.1376,1.676941309,1172.097756,3.759881875,6475.652438,1495.261604
0.23,2726628.784,8233378.276,2.050035284,0.49945981,0.009580286,0.546105275,0.130427344,0.071284739,513.6630571,0.005610999,0.0377,100199.4518,1.676945546,1172.38001,3.753926684,6449.352695,1559.886743
0.24,2715639.22,8171878.729,2.040611761,0.5199128,0.009563098,0.54444936,0.135880081,0.071338303,510.5343386,0.005589785,0.0377,99797.71171,1.676949697,1172.659343,3.748035603,6423.374747,1624.249731
0.25,2704783.288,8111386.034,2.031308584,0.540272444,0.00954599,0.542811296,0.14131639,0.07139187,507.4444538,0.005568786,0.0377,99400.78888,1.676953697,1172.93603,3.742207258,6397.712178,1688.355284
0.26,2694058.799,8051876.801,2.022123372,0.560539365,0.009528959,0.541190766,0.146736365,0.071445439,504.3926452,0.005547998,0.0377,99008.55156,1.676957441,1173.210329,3.736440521,6372.359421,1752.205007
0.27,2683463.012,7993325.035,2.013053364,0.580715293,0.009512004,0.539587384,0.152140262,0.071499012,501.3780652,0.005527416,0.0377,98620.91849,1.676960964,1173.482378,3.730734094,6347.310142,1815.803478
0.28,2672993.472,7935708.924,2.004096405,0.600800809,0.009495125,0.538000866,0.157528169,0.071552587,498.4000216,0.005507038,0.0377,98237.87503,1.676964416,1173.752192,3.725086993,6322.559103,1879.152204
0.29,2662647.409,7879004.106,1.995249929,0.620797587,0.009478321,0.536430852,0.162900334,0.071606164,495.4577236,0.005486858,0.0377,97859.37925,1.676967913,1174.019784,3.719498036,6298.100202,1942.255629
0.3,2652422.448,7823190.212,1.986511917,0.640706169,0.009461591,0.534877076,0.16825684,0.071659744,492.5505212,0.005466875,0.0377,97485.38865,1.676971547,1174.285148,3.713966284,6273.928159,2005.115164
0.31,2642315.929,7768244.386,1.977879947,0.660528177,0.009444934,0.533339198,0.173597928,0.071713327,489.6776678,0.005447084,0.0377,97115.83735,1.676975384,1174.548278,3.708490615,6250.036922,2067.735123
0.32,2632325.594,7714147.588,1.969352127,0.680264115,0.009428349,0.531816965,0.178923677,0.071766913,486.8385519,0.005427481,0.0377,96750.66317,1.676979467,1174.809154,3.703070144,6226.42131,2130.116821
0.33,2622448.918,7660878.346,1.960926163,0.699915557,0.009411836,0.530310057,0.184234319,0.071820501,484.0324667,0.005408064,0.0377,96389.78428,1.67698382,1175.067768,3.697703805,6203.075432,2192.264444
0.34,2612683.904,7608418.847,1.952600252,0.719482972,0.009395392,0.528818232,0.189529928,0.071874093,481.2588304,0.00538883,0.0377,96033.13575,1.676988464,1175.324159,3.692390761,6179.994624,2254.179214
