time [s],Chamber Pressure [Pa],Tank Pressure [Pa],Gas Tank Pressure [Pa],Oxidizer Mass Flow Rate [kg/s],Oxidizer mass consumption [kg],Oxidizer Residual Volume [m^3],Gas volume flow rate [m^3],Fuel mass flow rate [kg/s],Fuel Mass Consumption [kg],Fuel Port Diameter [m],Oxidizer Mass Flux [kg/m^2/s],Fuel Regression Rate [m/s],Nozzle Throat Diameter [m],Nozzle Exit Pressure [Pa],Thrust Coefficient,Specific Exhaust Velocity [m/s],O/F,Thrust [N],Total Impulse [N-s]
,Pc,Pt,Pg,mox,Mox,Vox,vg,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0,2412976.439,5000000,15000000,1.774869201,0,0.012,0,0.501514502,0,0.0700535,460.4863861,0.005243413,0.0377,88693.02845,1.46358104,1183.289197,3.538982525,4981.280621,0
0.01,2413175.083,5000000,14969265.64,1.774913462,0.017748913,0.011985085,1.49E-05,0.501430372,0.005014724,0.070107003,459.7952732,0.005238532,0.0377,88700.63159,1.463599275,1183.235705,3.539877487,4981.752765,49.81516693
0.02,2413046.341,5000000,14938536.05,1.77495765,0.035498269,0.01197017,1.49E-05,0.501346308,0.010028608,0.070160508,459.1056778,0.00523366,0.0377,88696.22769,1.463588617,1183.19326,3.540559237,4981.450714,99.63247465
0.03,2412917.643,5000000,14907807.53,1.775001804,0.053248066,0.011955254,1.49E-05,0.501262318,0.015041651,0.070214016,458.4176063,0.005228795,0.0377,88691.82403,1.463577958,1183.150839,3.5412406,4981.148757,149.4448268
0.04,2412789.037,5000000,14877081.78,1.775045926,0.070998305,0.011940338,1.49E-05,0.501178401,0.020053854,0.070267527,457.7310539,0.005223939,0.0377,88687.42243,1.463567304,1183.108442,3.541921606,4980.847009,199.2554505
0.05,2412660.524,5000000,14846357.44,1.775090015,0.088748985,0.011925421,1.49E-05,0.501094557,0.025065219,0.07032104,457.0460164,0.00521909,0.0377,88683.02288,1.463556654,1183.066067,3.542602257,4980.54547,249.0617676
0.06,2412532.104,5000000,14815635.86,1.775134071,0.106500105,0.011910504,1.49E-05,0.501010787,0.030075746,0.070374556,456.3624893,0.00521425,0.0377,88678.62541,1.463546008,1183.023715,3.543282552,4980.24414,298.8663606
0.07,2412403.777,5000000,14784915.7,1.775178094,0.124251666,0.011895587,1.49E-05,0.500927089,0.035085435,0.070428075,455.680468,0.005209417,0.0377,88674.23003,1.463535366,1182.981386,3.543962493,4979.94302,348.6666512
0.08,2412275.542,5000000,14754198.3,1.775222084,0.142003667,0.011880669,1.49E-05,0.500843465,0.040094288,0.070481596,454.9999482,0.005204592,0.0377,88669.83675,1.463524728,1182.939081,3.54464208,4979.64211,398.4652217
0.09,2412147.401,5000000,14723482.32,1.775266041,0.159756108,0.011865751,1.49E-05,0.500759913,0.045102305,0.07053512,454.3209255,0.005199775,0.0377,88665.44559,1.463514095,1182.896799,3.545321313,4979.34141,448.2594941
0.1,2412019.353,5000000,14692769.1,1.775309966,0.177508988,0.011850833,1.49E-05,0.500676434,0.050109486,0.070588647,453.6433954,0.005194966,0.0377,88661.05657,1.463503465,1182.854541,3.546000192,4979.040921,498.0520506
0.11,2411891.398,5000000,14662057.3,1.775353857,0.195262307,0.011835914,1.49E-05,0.500593027,0.055115833,0.070642177,452.9673537,0.005190165,0.0377,88656.6697,1.46349284,1182.812306,3.546678719,4978.740642,547.8403132
0.12,2411763.536,5000000,14631348.27,1.775397715,0.213016065,0.011820995,1.49E-05,0.500509693,0.060121347,0.070695709,452.2927959,0.005185371,0.0377,88652.285,1.46348222,1182.770096,3.547356893,4978.440575,597.6268642
0.13,2411635.768,5000000,14600640.65,1.77544154,0.230770261,0.011806075,1.49E-05,0.500426431,0.065126028,0.070749243,451.6197177,0.005180585,0.0377,88647.90248,1.463471604,1182.727909,3.548034714,4978.140719,647.4091254
0.14,2411508.093,5000000,14569935.81,1.775485332,0.248524895,0.011791156,1.49E-05,0.500343241,0.070129876,0.070802781,450.9481147,0.005175808,0.0377,88643.52215,1.463460992,1182.685746,3.548712183,4977.841075,697.1896792
0.15,2411380.511,5000000,14539232.38,1.775529091,0.266279967,0.011776235,1.49E-05,0.500260123,0.075132893,0.070856321,450.2779827,0.005171038,0.0377,88639.14404,1.463450384,1182.643608,3.549389302,4977.541643,746.9659476
0.16,2411253.023,5000000,14508531.73,1.775572817,0.284035477,0.011761315,1.49E-05,0.500177076,0.080135079,0.070909864,449.6093173,0.005166275,0.0377,88634.76816,1.463439781,1182.601494,3.550066069,4977.242423,796.7405128
0.17,2411125.629,5000000,14477832.49,1.775616509,0.301791424,0.011746394,1.49E-05,0.500094102,0.085136434,0.070963409,448.9421144,0.005161521,0.0377,88630.39453,1.463429183,1182.559404,3.550742485,4976.943416,846.5107968
0.18,2410998.329,5000000,14447136.03,1.775660169,0.319547807,0.011731472,1.49E-05,0.500011199,0.090136961,0.071016958,448.2763695,0.005156774,0.0377,88626.02316,1.463418589,1182.517339,3.551418551,4976.644622,896.2793818
0.19,2410871.123,5000000,14416440.99,1.775703795,0.337304627,0.011716551,1.49E-05,0.499928368,0.095136659,0.071070508,447.6120784,0.005152035,0.0377,88621.65407,1.463408,1182.475299,3.552094267,4976.346041,946.0436899
0.2,2410744.01,5000000,14385748.73,1.775747388,0.355061883,0.011701629,1.49E-05,0.499845607,0.100135528,0.071124062,446.949237,0.005147303,0.0377,88617.28727,1.463397415,1182.433284,3.552769633,4976.047673,995.8063034
0.21,2410616.992,5000000,14355057.89,1.775790947,0.372819575,0.011686706,1.49E-05,0.499762918,0.105133571,0.071177618,446.2878409,0.005142579,0.0377,88612.92279,1.463386835,1182.391293,3.553444651,4975.74952,1045.564644
0.22,2410490.068,5000000,14324369.83,1.775834473,0.390577702,0.011671783,1.49E-05,0.499680301,0.110130787,0.071231177,445.6278861,0.005137863,0.0377,88608.56063,1.46337626,1182.349328,3.55411932,4975.45158,1095.321294
0.23,2410363.238,5000000,14293683.19,1.775877966,0.408336264,0.01165686,1.49E-05,0.499597754,0.115127177,0.071284739,444.9693682,0.005133154,0.0377,88604.20082,1.46336569,1182.307388,3.55479364,4975.153855,1145.073676
0.24,2410236.502,5000000,14262999.33,1.775921426,0.426095261,0.011641937,1.49E-05,0.499515277,0.120122742,0.071338303,444.3122832,0.005128453,0.0377,88599.84337,1.463355124,1182.265473,3.555467612,4974.856345,1194.824372
0.25,2410109.861,5000000,14232316.9,1.775964852,0.443854692,0.011627013,1.49E-05,0.499432872,0.125117483,0.07139187,443.6566268,0.00512376,0.0377,88595.4883,1.463344563,1182.223584,3.556141237,4974.55905,1244.570804
0.26,2409983.315,5000000,14201637.24,1.776008245,0.461614558,0.011612089,1.49E-05,0.499350537,0.1301114,0.071445439,443.0023949,0.005119074,0.0377,88591.13563,1.463334007,1182.18172,3.556814515,4974.261971,1294.315554
0.27,2409856.863,5000000,14170959.02,1.776051604,0.479374857,0.011597164,1.49E-05,0.499268273,0.135104494,0.071499012,442.3495834,0.005114396,0.0377,88586.78537,1.463323456,1182.139882,3.557487446,4973.965107,1344.056044
0.28,2409730.505,5000000,14140283.57,1.77609493,0.49713559,0.011582239,1.49E-05,0.499186078,0.140096766,0.071552587,441.6981882,0.005109725,0.0377,88582.43754,1.46331291,1182.09807,3.55816003,4973.668459,1393.794857
0.29,2409604.243,5000000,14109609.56,1.776138222,0.514896756,0.011567314,1.49E-05,0.499103954,0.145088216,0.071606164,441.0482052,0.005105062,0.0377,88578.09215,1.463302369,1182.056285,3.558832269,4973.372028,1443.529414
0.3,2409478.075,5000000,14078938.33,1.77618148,0.532658354,0.011552388,1.49E-05,0.499021901,0.150078845,0.071659744,440.3996303,0.005100406,0.0377,88573.74924,1.463291833,1182.014525,3.559504161,4973.075814,1493.262298
0.31,2409352.002,5000000,14048268.53,1.776224705,0.550420385,0.011537462,1.49E-05,0.498939917,0.155068654,0.071713327,439.7524593,0.005095758,0.0377,88569.4088,1.463281302,1181.972791,3.560175709,4972.779816,1542.990931
0.32,2409226.025,5000000,14017601.51,1.776267897,0.568182848,0.011522535,1.49E-05,0.498858002,0.160057644,0.071766913,439.1066884,0.005091117,0.0377,88565.07087,1.463270776,1181.931084,3.560846911,4972.484036,1592.717895
0.33,2409100.142,5000000,13986935.93,1.776311055,0.585945743,0.011507609,1.49E-05,0.498776158,0.165045814,0.071820501,438.4623133,0.005086484,0.0377,88560.73545,1.463260256,1181.889403,3.56151777,4972.188474,1642.440613
0.34,2408974.355,5000000,13956273.13,1.776354179,0.603709069,0.011492681,1.49E-05,0.498694383,0.170033167,0.071874093,437.8193302,0.005081858,0.0377,88556.40257,1.46324974,1181.847749,3.562188284,4971.893129,1692.161665
0.35,2408848.663,5000000,13925611.77,1.776397269,0.621472826,0.011477754,1.49E-05,0.498612677,0.175019702,0.071927686,437.1777349,0.005077239,0.0377,88552.07224,1.46323923,1181.806122,3.562858454,4971.598003,1741.878476
0.36,2408723.067,5000000,13894953.2,1.776440326,0.639237014,0.011462826,1.49E-05,0.498531041,0.180005421,0.071981283,436.5375235,0.005072628,0.0377,88547.74448,1.463228725,1181.764522,3.563528281,4971.303096,1791.593626
0.37,2408597.566,5000000,13864296.06,1.776483349,0.657001633,0.011447898,1.49E-05,0.498449474,0.184990323,0.072034882,435.8986921,0.005068024,0.0377,88543.41931,1.463218226,1181.722949,3.564197764,4971.008408,1841.304538
0.38,2408472.161,5000000,13833641.71,1.776526339,0.674766681,0.011432969,1.49E-05,0.498367976,0.18997441,0.072088483,435.2612365,0.005063428,0.0377,88539.09675,1.463207732,1181.681403,3.564866906,4970.713938,1891.013795
0.39,2408346.851,5000000,13802988.8,1.776569294,0.692532159,0.01141804,1.49E-05,0.498286547,0.194957683,0.072142088,434.6251529,0.005058839,0.0377,88534.77681,1.463197243,1181.639884,3.565535704,4970.419689,1940.718818
0.4,2408221.637,5000000,13772338.68,1.776612216,0.710298067,0.011403111,1.49E-05,0.498205187,0.199940142,0.072195695,433.9904374,0.005054257,0.0377,88530.45951,1.46318676,1181.598393,3.566204162,4970.12566,1990.42219
