,Pc,Pt,mox,Mox,Vox,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0.0,917.8942842006791,5000000.0,0.0001,0.0,0.027,0.002703346613401093,0.0,0.100055,0.012718401358540821,1.7480262945360498e-05,0.0445,33.57461149864205,-566.8298773811445,509.24382365177394,0.03699118696221848,-803.0521598884338,0.0
0.01,1337.222106220292,4996870.304513491,0.00029999809587046266,1.9999904793523134e-06,0.026999997652593335,0.0046823188252399185,3.692832719320506e-05,0.1000554220161689,0.03815464003962969,3.0276479764862084e-05,0.0445,48.820186293683385,-388.55558789290745,516.940081233676,0.05231474610985791,-801.9643481618343,-8.025082540251342
0.02,1970.7175118348357,4993740.6090269815,0.0006999695746171826,6.6665398603301106e-06,0.0269999921754227,0.007152227406417351,9.528283106926041e-05,0.10005610143193555,0.08902297989962238,4.624691440613555e-05,0.0445,71.75587561320214,-263.1127506614056,527.8239522423468,0.07398497211019801,-800.3217615978375,-16.037437713778697
0.03,2950.2631951008443,4990610.913540472,0.0014997846375582663,1.749875242010893e-05,0.026999979461558195,0.010469264769648523,0.00018309346493899378,0.1000570849023014,0.19074068049392992,6.76944964444427e-05,0.0445,107.02201515082037,-175.19672197829996,543.2460464448208,0.10462946420490817,-797.7835789315073,-24.0282484341462
0.04,2989691.551694322,4987481.218053963,3.6011419527683555,0.012032803409504356,0.0269858769913034,0.5130053018184775,0.0019687314587475578,0.10008017125089166,457.77732819317686,0.0033163383889224986,0.0445,100742.73296402834,1.4915810526443916,1130.4845604272052,7.01876498638743,6882.902181878281,-6.399284031930637
0.05,2989149.044143721,4984351.522567454,3.599487222887236,0.054035898771847696,0.02693657758360112,0.5128874249405829,0.007932792360209199,0.10015725127114172,456.86297190447317,0.0033130247357973297,0.0445,100722.82330228067,1.491546367508836,1130.4852490248672,7.018083517724712,6881.493189225256,75.22261074887152
0.06,2987860.0834464426,4981221.827080945,3.597826425514325,0.08402252764227643,0.026901382009809537,0.5127690885897535,0.012226478425982769,0.10021270652216976,456.1469157308771,0.003310427412047321,0.0445,100675.51537674428,1.491463900204887,1130.4868528872632,7.0164642570996065,6878.145485796554,131.22411738332218
0.07,2986570.690449842,4978092.131594435,3.5961652552027297,0.12599243078446618,0.02685212156011213,0.5126506983409682,0.01818817429032357,0.10028965416546584,455.2369363183498,0.0033071237344629778,0.0445,100628.18528139948,1.491381322349897,1130.4884103588029,7.014844264190792,6874.7966057841595,212.78713115468364
0.08,2985280.8576760143,4974962.436107926,3.5945037144174616,0.15594583151141878,0.026816964986488945,0.5125322543326178,0.022479492213603583,0.10034500570757147,454.5247445078455,0.003304535820172175,0.0445,100580.83181912955,1.4912986315798158,1130.4899194230732,7.013223535635749,6871.44652190813,268.72004548612665
0.09,2983990.5817835475,4971832.740621417,3.5928418056662528,0.197882503848352,0.026767743540084092,0.5124137567062501,0.028438819198367153,0.10042182145425552,453.6198236126898,0.003301244653504928,0.0445,100533.45397567005,1.4912158258483796,1130.4913780212253,7.011602073374293,6868.095217896001,350.2160575121655
