,0.5,1.0,1.5,2.0,2.5,3.0
0.5,1.3459,1.3462,1.3464,1.3465,1.3466,1.3467
0.6,1.3467,1.347,1.3472,1.3474,1.3475,1.3475
0.7,1.3479,1.3482,1.3484,1.3485,1.3486,1.3487
0.8,1.3496,1.3497,1.3498,1.3499,1.35,1.35
0.9,1.352,1.3517,1.3517,1.3517,1.3517,1.3517
1.0,1.3549,1.3542,1.3539,1.3537,1.3536,1.3536
1.1,1.3576,1.3568,1.3563,1.356,1.3558,1.3557
1.2,1.3595,1.359,1.3585,1.3582,1.358,1.3578
1.3,1.3575,1.358,1.3586,1.3589,1.3591,1.3591
1.4,1.3677,1.3656,1.3644,1.3637,1.363,1.3625
1.5,1.3686,1.3686,1.3684,1.3681,1.3678,1.3674
1.6,1.3668,1.3671,1.3672,1.3673,1.3673,1.3674
1.7,1.3649,1.3654,1.3656,1.3657,1.3658,1.3659
1.8,1.3631,1.3636,1.3639,1.3641,1.3643,1.3644
1.9,1.3614,1.362,1.3623,1.3625,1.3627,1.3628
2.0,1.3599,1.3605,1.3608,1.361,1.3612,1.3614
2.1,1.3583,1.359,1.3593,1.3596,1.3598,1.3599
2.2,1.3567,1.3575,1.3579,1.3582,1.3584,1.3585
2.3,1.355,1.3559,1.3564,1.3567,1.357,1.3571
2.4,1.353,1.3542,1.3548,1.3552,1.3555,1.3557
2.5,1.351,1.3523,1.3531,1.3535,1.3539,1.3542
2.6,1.3491,1.3504,1.3512,1.3517,1.3521,1.3525
2.7,1.3474,1.3486,1.3494,1.3499,1.3503,1.3507
2.8,1.3461,1.3472,1.3478,1.3483,1.3487,1.349
2.9,1.3452,1.3461,1.3466,1.347,1.3474,1.3476
3.0,1.3446,1.3453,1.3458,1.3461,1.3464,1.3466
3.1,1.3442,1.3448,1.3452,1.3455,1.3457,1.3459
3.2,1.3439,1.3444,1.3448,1.3451,1.3453,1.3454
3.3,1.3437,1.3442,1.3445,1.3448,1.3449,1.3451
3.4,1.3435,1.344,1.3443,1.3446,1.3447,1.3449
3.5,1.3434,1.3439,1.3442,1.3444,1.3446,1.3447
3.6,1.3433,1.3438,1.3441,1.3443,1.3445,1.3446
3.7,1.3433,1.3438,1.3441,1.3443,1.3444,1.3446
3.8,1.3433,1.3438,1.344,1.3442,1.3444,1.3445
3.9,1.3433,1.3437,1.344,1.3442,1.3444,1.3445
4.0,1.3433,1.3438,1.344,1.3442,1.3444,1.3445
4.1,1.3433,1.3438,1.3441,1.3443,1.3444,1.3446
4.2,1.3433,1.3438,1.3441,1.3443,1.3445,1.3446
4.3,1.3433,1.3438,1.3441,1.3444,1.3445,1.3447
4.4,1.3434,1.3439,1.3442,1.3444,1.3446,1.3447
4.5,1.3434,1.3439,1.3443,1.3445,1.3447,1.3448
4.6,1.3435,1.344,1.3443,1.3446,1.3447,1.3449
4.7,1.3435,1.3441,1.3444,1.3447,1.3448,1.345
4.8,1.3436,1.3442,1.3445,1.3447,1.3449,1.3451
4.9,1.3437,1.3443,1.3446,1.3449,1.3451,1.3452
5.0,1.3438,1.3444,1.3447,1.345,1.3452,1.3453
