,0.5,1.0,1.5,2.0,2.5,3.0
0.5,8.7242,8.9282,8.9786,8.9846,8.9727,8.9527
0.6,7.6855,8.1352,8.3314,8.4386,8.5032,8.544
0.7,6.4717,7.0457,7.3347,7.5139,7.6368,7.7263
0.8,5.3936,5.9939,6.3216,6.5376,6.6936,6.8128
0.9,4.5236,5.0947,5.4245,5.6508,5.8198,5.9526
1.0,3.8475,4.3646,4.6763,4.8967,5.0653,5.2005
1.1,3.3289,3.785,4.0694,4.2753,4.4358,4.5665
1.2,2.9313,3.3287,3.5831,3.7709,3.9194,4.0419
1.3,2.6701,3.0112,3.2332,3.3993,3.5323,3.6431
1.4,2.2127,2.6825,2.9763,3.1845,3.309,3.4081
1.5,1.7047,1.749,1.8132,1.8884,1.968,2.0478
1.6,1.7777,1.7787,1.781,1.7844,1.7886,1.7938
1.7,1.8523,1.851,1.8505,1.8504,1.8504,1.8506
1.8,1.9257,1.9212,1.9192,1.9181,1.9173,1.9167
1.9,2.011,1.9981,1.9924,1.9891,1.9868,1.9851
2.0,2.1299,2.0966,2.0822,2.0738,2.0681,2.0639
2.1,2.3161,2.2398,2.2072,2.1881,2.1753,2.1659
2.2,2.6143,2.4588,2.3923,2.3535,2.3274,2.3083
2.3,3.0724,2.7903,2.6681,2.5964,2.5481,2.5128
2.4,3.726,3.2689,3.0657,2.9453,2.8636,2.8037
2.5,4.5882,3.9195,3.6121,3.4266,3.2995,3.2056
2.6,5.6499,4.7537,4.3259,4.0622,3.8788,3.742
2.7,6.8807,5.7682,5.2157,4.8668,4.6201,4.4336
2.8,8.2147,6.9287,6.2659,5.8368,5.5277,5.2904
2.9,9.55,8.1553,7.415,6.9252,6.566,6.2862
3.0,10.7809,9.3404,8.5616,8.0383,7.6496,7.3434
3.1,11.8325,10.3903,9.6037,9.0711,8.6726,8.3566
3.2,12.6703,11.2496,10.4732,9.9461,9.5508,9.2364
3.3,13.2915,11.9008,11.1417,10.6267,10.2404,9.9332
3.4,13.713,12.3523,11.6114,11.1096,10.7337,10.4349
3.5,13.9602,12.6263,11.9016,11.4116,11.0449,10.7539
3.6,14.0609,12.7497,12.0385,11.5581,11.199,10.9142
3.7,14.0412,12.7494,12.0492,11.5766,11.2234,10.9434
3.8,13.9247,12.6498,11.9589,11.4926,11.1441,10.8679
3.9,13.7313,12.4719,11.7893,11.3284,10.984,10.7109
4.0,13.4778,12.2333,11.5585,11.1027,10.762,10.4918
4.1,13.1779,11.9484,11.2815,10.8309,10.4939,10.2266
4.2,12.8428,11.629,10.9703,10.5252,10.1923,9.9281
4.3,12.4819,11.2846,10.6348,10.1956,9.8671,9.6065
4.4,12.1025,10.9228,10.2827,9.8501,9.5265,9.2697
4.5,11.7106,10.5498,9.9202,9.4948,9.1766,8.9243
4.6,11.3112,10.1706,9.5523,9.1347,8.8226,8.5751
4.7,10.9083,9.7891,9.183,8.7739,8.4684,8.2262
4.8,10.5049,9.4084,8.8153,8.4154,8.117,7.8806
4.9,10.1038,9.0312,8.4519,8.0618,7.7709,7.5407
5.0,9.7071,8.6595,8.0947,7.7149,7.432,7.2083
