,0.5,1.0,1.5,2.0,2.5,3.0
0.5,1.14,1.142,1.1429,1.1435,1.1438,1.144
0.6,1.1516,1.1534,1.1543,1.1548,1.1552,1.1554
0.7,1.1675,1.1681,1.1684,1.1687,1.1688,1.1689
0.8,1.1897,1.1873,1.1863,1.1857,1.1853,1.185
0.9,1.2197,1.2121,1.2087,1.2068,1.2054,1.2044
1.0,1.2543,1.2417,1.2355,1.2316,1.2289,1.2269
1.1,1.2842,1.271,1.2633,1.258,1.2542,1.2512
1.2,1.3036,1.2938,1.2869,1.2817,1.2776,1.2743
1.3,1.3093,1.3089,1.3081,1.307,1.3057,1.3043
1.4,1.2917,1.2926,1.293,1.2932,1.2933,1.2933
1.5,1.2736,1.2761,1.2772,1.2779,1.2784,1.2787
1.6,1.2539,1.2586,1.2608,1.2622,1.2632,1.2639
1.7,1.2335,1.2403,1.2437,1.2459,1.2474,1.2486
1.8,1.2138,1.2221,1.2265,1.2293,1.2314,1.233
1.9,1.1959,1.2049,1.2098,1.2132,1.2156,1.2176
2.0,1.1803,1.1893,1.1944,1.198,1.2007,1.2028
2.1,1.1669,1.1754,1.1805,1.1841,1.1868,1.189
2.2,1.1558,1.1636,1.1684,1.1718,1.1744,1.1766
2.3,1.1469,1.1539,1.1582,1.1613,1.1638,1.1658
2.4,1.1401,1.1462,1.15,1.1528,1.155,1.1568
2.5,1.135,1.1404,1.1437,1.1461,1.1481,1.1497
2.6,1.1311,1.136,1.1389,1.1411,1.1428,1.1442
2.7,1.1283,1.1327,1.1353,1.1372,1.1388,1.14
2.8,1.1262,1.1302,1.1326,1.1344,1.1357,1.1369
2.9,1.1245,1.1283,1.1306,1.1322,1.1335,1.1345
3.0,1.1233,1.1269,1.129,1.1305,1.1317,1.1327
3.1,1.1223,1.1258,1.1278,1.1293,1.1304,1.1313
3.2,1.1215,1.1249,1.1268,1.1282,1.1293,1.1302
3.3,1.1209,1.1242,1.1261,1.1274,1.1285,1.1294
3.4,1.1204,1.1236,1.1255,1.1268,1.1278,1.1287
3.5,1.12,1.1231,1.125,1.1263,1.1273,1.1281
3.6,1.1196,1.1228,1.1246,1.1259,1.1269,1.1277
3.7,1.1193,1.1225,1.1243,1.1256,1.1266,1.1274
3.8,1.1191,1.1222,1.124,1.1253,1.1263,1.1271
3.9,1.1189,1.122,1.1238,1.1251,1.1261,1.1269
4.0,1.1188,1.1219,1.1237,1.125,1.1259,1.1267
4.1,1.1187,1.1218,1.1236,1.1249,1.1258,1.1266
4.2,1.1186,1.1217,1.1235,1.1248,1.1258,1.1266
4.3,1.1186,1.1217,1.1235,1.1248,1.1257,1.1266
4.4,1.1186,1.1217,1.1235,1.1248,1.1258,1.1266
4.5,1.1186,1.1217,1.1235,1.1248,1.1258,1.1266
4.6,1.1186,1.1217,1.1236,1.1249,1.1259,1.1267
4.7,1.1187,1.1218,1.1236,1.1249,1.126,1.1268
4.8,1.1188,1.1219,1.1237,1.1251,1.1261,1.1269
4.9,1.1188,1.122,1.1239,1.1252,1.1262,1.1271
5.0,1.119,1.1222,1.124,1.1254,1.1264,1.1272
