,0.5,1.0,1.5,2.0,2.5,3.0
0.5,-13588.7,-13716.3,-13797.7,-13858.2,-13906.6,-13946.9
0.6,-14341.6,-14467.0,-14549.1,-14611.0,-14661.1,-14703.2
0.7,-15086.5,-15197.1,-15273.1,-15331.9,-15380.2,-15421.4
0.8,-15876.9,-15950.5,-16009.7,-16058.4,-16100.0,-16136.2
0.9,-16772.7,-16773.3,-16798.5,-16826.6,-16853.8,-16879.5
1.0,-17822.8,-17707.7,-17676.9,-17670.1,-17673.0,-17680.4
1.1,-19021.1,-18769.7,-18665.4,-18610.8,-18579.3,-18560.5
1.2,-20302.3,-19930.2,-19751.4,-19644.4,-19573.5,-19523.5
1.3,-22759.5,-22183.5,-21852.9,-21624.5,-21453.2,-21318.7
1.4,-25654.3,-25023.2,-24653.3,-24390.9,-24187.6,-24021.7
1.5,-28234.6,-27575.2,-27186.0,-26908.6,-26692.8,-26516.3
1.6,-30498.6,-29841.2,-29447.6,-29165.1,-28944.3,-28762.9
1.7,-32437.9,-31816.8,-31436.7,-31160.7,-30943.3,-30763.7
1.8,-34055.0,-33501.2,-33152.2,-32894.6,-32689.4,-32518.7
1.9,-35366.7,-34902.0,-34598.4,-34369.6,-34184.9,-34029.4
2.0,-36397.7,-36034.2,-35785.5,-35593.2,-35435.2,-35300.5
2.1,-37175.5,-36916.6,-36727.6,-36576.4,-36449.3,-36339.2
2.2,-37729.7,-37571.4,-37442.5,-37333.9,-37239.6,-37155.9
2.3,-38092.8,-38025.5,-37953.0,-37885.3,-37823.2,-37765.9
2.4,-38299.3,-38309.6,-38286.7,-38256.0,-38223.4,-38190.8
2.5,-38382.5,-38455.9,-38474.5,-38475.2,-38468.1,-38457.0
2.6,-38371.6,-38494.6,-38546.3,-38572.5,-38586.3,-38593.1
2.7,-38290.6,-38451.5,-38528.9,-38575.0,-38605.4,-38626.3
2.8,-38158.1,-38347.3,-38444.1,-38505.5,-38548.5,-38580.5
2.9,-37988.1,-38198.1,-38309.3,-38382.0,-38434.6,-38474.8
3.0,-37791.3,-38016.1,-38137.6,-38218.6,-38278.1,-38324.4
3.1,-37575.3,-37810.3,-37939.2,-38026.0,-38090.5,-38141.1
3.2,-37346.1,-37587.7,-37721.4,-37812.1,-37880.0,-37933.6
3.3,-37107.9,-37353.3,-37489.9,-37583.1,-37653.1,-37708.6
3.4,-36864.1,-37111.0,-37249.0,-37343.5,-37414.6,-37471.2
3.5,-36617.0,-36863.6,-37001.9,-37096.7,-37168.2,-37225.2
3.6,-36368.4,-36613.4,-36750.9,-36845.3,-36916.6,-36973.4
3.7,-36119.7,-36362.0,-36498.0,-36591.4,-36661.9,-36718.2
3.8,-35872.0,-36110.7,-36244.5,-36336.4,-36405.8,-36461.1
3.9,-35626.1,-35860.3,-35991.5,-36081.5,-36149.4,-36203.6
4.0,-35382.4,-35611.6,-35739.8,-35827.6,-35893.8,-35946.5
4.1,-35141.5,-35365.1,-35489.9,-35575.3,-35639.5,-35690.6
4.2,-34903.6,-35121.3,-35242.4,-35325.1,-35387.2,-35436.5
4.3,-34669.0,-34880.4,-34997.6,-35077.4,-35137.2,-35184.6
4.4,-34437.7,-34642.5,-34755.7,-34832.5,-34889.9,-34935.3
4.5,-34209.9,-34407.9,-34516.9,-34590.5,-34645.4,-34688.7
4.6,-33985.7,-34176.7,-34281.2,-34351.7,-34404.0,-34445.1
4.7,-33764.9,-33948.8,-34048.9,-34116.0,-34165.6,-34204.5
4.8,-33547.7,-33724.3,-33819.8,-33883.5,-33930.4,-33967.0
4.9,-33334.0,-33503.1,-33594.0,-33654.3,-33698.4,-33732.7
5.0,-33123.7,-33285.4,-33371.5,-33428.3,-33469.6,-33501.5
