,0.5,1.0,1.5,2.0,2.5,3.0
0.5,-12207.1,-12261.7,-12297.7,-12325.1,-12347.3,-12366.0
0.6,-12810.1,-12860.9,-12895.6,-12922.3,-12944.2,-12962.9
0.7,-13325.1,-13373.5,-13407.0,-13433.1,-13454.7,-13473.2
0.8,-13775.1,-13821.5,-13853.9,-13879.4,-13900.5,-13918.8
0.9,-14175.2,-14219.7,-14251.1,-14275.8,-14296.4,-14314.3
1.0,-14534.9,-14577.9,-14608.2,-14632.2,-14652.2,-14669.6
1.1,-14859.7,-14902.2,-14931.7,-14955.1,-14974.6,-14991.6
1.2,-15153.9,-15196.5,-15225.8,-15248.8,-15268.0,-15284.6
1.3,-15345.6,-15406.0,-15444.9,-15474.0,-15497.4,-15517.0
1.4,-15574.6,-15536.7,-15544.9,-15561.0,-15589.8,-15615.7
1.5,-17129.0,-16796.0,-16622.4,-16515.9,-16445.6,-16397.0
1.6,-18870.8,-18481.2,-18255.0,-18095.8,-17973.4,-17874.5
1.7,-20524.3,-20099.9,-19853.4,-19679.2,-19544.5,-19434.8
1.8,-22105.7,-21644.0,-21377.3,-21189.3,-21044.2,-20926.0
1.9,-23629.7,-23126.6,-22837.8,-22635.1,-22478.9,-22351.9
2.0,-25103.6,-24556.4,-24243.9,-24025.2,-23857.1,-23720.7
2.1,-26526.5,-25936.7,-25600.2,-25365.1,-25184.7,-25038.5
2.2,-27887.7,-27264.1,-26906.3,-26655.9,-26463.7,-26308.0
2.3,-29165.0,-28526.8,-28155.1,-27893.2,-27691.5,-27527.8
2.4,-30323.7,-29701.2,-29329.0,-29063.4,-28857.2,-28688.9
2.5,-31321.1,-30752.3,-30398.9,-30141.5,-29939.2,-29772.4
2.6,-32116.4,-31637.4,-31325.1,-31091.3,-30903.9,-30747.4
2.7,-32687.9,-32319.9,-32066.8,-31870.7,-31710.0,-31573.4
2.8,-33047.8,-32788.2,-32600.0,-32449.6,-32323.1,-32213.4
2.9,-33234.9,-33064.3,-32934.1,-32826.8,-32734.6,-32653.2
3.0,-33294.0,-33189.3,-33104.0,-33031.4,-32967.7,-32910.6
3.1,-33263.0,-33204.4,-33151.2,-33103.9,-33061.4,-33022.6
3.2,-33169.4,-33142.1,-33110.9,-33081.1,-33053.4,-33027.5
3.3,-33032.4,-33025.9,-33009.2,-32991.1,-32973.3,-32956.0
3.4,-32865.1,-32871.8,-32864.5,-32853.9,-32842.3,-32830.7
3.5,-32676.6,-32691.0,-32689.3,-32683.2,-32675.4,-32667.1
3.6,-32473.1,-32491.3,-32492.4,-32488.6,-32482.8,-32476.2
3.7,-32259.1,-32278.2,-32280.0,-32276.9,-32271.7,-32265.7
3.8,-32037.8,-32055.4,-32056.5,-32052.8,-32047.3,-32041.0
3.9,-31811.5,-31825.9,-31825.0,-31819.8,-31813.1,-31805.9
4.0,-31581.9,-31591.6,-31587.8,-31580.4,-31572.0,-31563.2
4.1,-31350.2,-31354.1,-31346.6,-31336.5,-31325.8,-31315.1
4.2,-31117.4,-31114.6,-31102.7,-31089.4,-31076.1,-31063.1
4.3,-30884.1,-30873.8,-30857.1,-30840.1,-30823.8,-30808.4
4.4,-30650.9,-30632.4,-30610.4,-30589.4,-30569.9,-30551.8
4.5,-30418.1,-30390.7,-30363.1,-30337.9,-30314.9,-30293.9
4.6,-30186.0,-30149.3,-30115.7,-30086.0,-30059.4,-30035.2
4.7,-29954.8,-29908.3,-29868.4,-29834.0,-29803.6,-29776.2
4.8,-29724.5,-29667.8,-29621.4,-29582.1,-29547.7,-29517.1
4.9,-29495.2,-29428.0,-29374.9,-29330.5,-29292.1,-29258.0
5.0,-29267.0,-29188.9,-29128.9,-29079.4,-29036.8,-28999.3
