,0.5,1.0,1.5,2.0,2.5,3.0
0.5,-1217.59,-1217.59,-1217.59,-1217.59,-1217.59,-1217.59
0.6,-1121.54,-1121.54,-1121.54,-1121.54,-1121.54,-1121.54
0.7,-1036.8,-1036.8,-1036.8,-1036.8,-1036.8,-1036.8
0.8,-961.47,-961.47,-961.47,-961.47,-961.47,-961.47
0.9,-894.07,-894.07,-894.07,-894.07,-894.07,-894.07
1.0,-833.42,-833.42,-833.42,-833.42,-833.42,-833.42
1.1,-778.53,-778.53,-778.53,-778.53,-778.53,-778.53
1.2,-728.64,-728.64,-728.64,-728.64,-728.64,-728.64
1.3,-683.09,-683.09,-683.09,-683.09,-683.09,-683.09
1.4,-641.33,-641.33,-641.33,-641.33,-641.33,-641.33
1.5,-602.91,-602.91,-602.91,-602.91,-602.91,-602.91
1.6,-567.45,-567.45,-567.45,-567.45,-567.45,-567.45
1.7,-534.62,-534.62,-534.62,-534.62,-534.62,-534.62
1.8,-504.13,-504.13,-504.13,-504.13,-504.13,-504.13
1.9,-475.74,-475.74,-475.74,-475.74,-475.74,-475.74
2.0,-449.24,-449.24,-449.24,-449.24,-449.24,-449.24
2.1,-424.46,-424.46,-424.46,-424.46,-424.46,-424.46
2.2,-401.22,-401.22,-401.22,-401.22,-401.22,-401.22
2.3,-379.4,-379.4,-379.4,-379.4,-379.4,-379.4
2.4,-358.85,-358.85,-358.85,-358.85,-358.85,-358.85
2.5,-339.48,-339.48,-339.48,-339.48,-339.48,-339.48
2.6,-321.19,-321.19,-321.19,-321.19,-321.19,-321.19
2.7,-303.88,-303.88,-303.88,-303.88,-303.88,-303.88
2.8,-287.49,-287.49,-287.49,-287.49,-287.49,-287.49
2.9,-271.94,-271.94,-271.94,-271.94,-271.94,-271.94
3.0,-257.16,-257.16,-257.16,-257.16,-257.16,-257.16
3.1,-243.1,-243.1,-243.1,-243.1,-243.1,-243.1
3.2,-229.72,-229.72,-229.72,-229.72,-229.72,-229.72
3.3,-216.96,-216.96,-216.96,-216.96,-216.96,-216.96
3.4,-204.77,-204.77,-204.77,-204.77,-204.77,-204.77
3.5,-193.13,-193.13,-193.13,-193.13,-193.13,-193.13
3.6,-182.0,-182.0,-182.0,-182.0,-182.0,-182.0
3.7,-171.33,-171.33,-171.33,-171.33,-171.33,-171.33
3.8,-161.12,-161.12,-161.12,-161.12,-161.12,-161.12
3.9,-151.32,-151.32,-151.32,-151.32,-151.32,-151.32
4.0,-141.91,-141.91,-141.91,-141.91,-141.91,-141.91
4.1,-132.87,-132.87,-132.87,-132.87,-132.87,-132.87
4.2,-124.18,-124.18,-124.18,-124.18,-124.18,-124.18
4.3,-115.81,-115.81,-115.81,-115.81,-115.81,-115.81
4.4,-107.76,-107.76,-107.76,-107.76,-107.76,-107.76
4.5,-99.999,-99.999,-99.999,-99.999,-99.999,-99.999
4.6,-92.515,-92.515,-92.515,-92.515,-92.515,-92.515
4.7,-85.294,-85.294,-85.294,-85.294,-85.294,-85.294
4.8,-78.321,-78.321,-78.321,-78.321,-78.321,-78.321
4.9,-71.585,-71.585,-71.585,-71.585,-71.585,-71.585
5.0,-65.074,-65.074,-65.074,-65.074,-65.074,-65.074
