,0.5,1.0,1.5,2.0,2.5,3.0
0.5,-1476.34,-1481.28,-1484.09,-1486.03,-1487.5,-1488.68
0.6,-1400.88,-1406.61,-1409.91,-1412.22,-1413.97,-1415.39
0.7,-1336.2,-1342.45,-1346.12,-1348.71,-1350.7,-1352.31
0.8,-1281.57,-1287.87,-1291.66,-1294.38,-1296.5,-1298.22
0.9,-1236.77,-1242.35,-1245.91,-1248.53,-1250.61,-1252.33
1.0,-1201.87,-1205.7,-1208.52,-1210.73,-1212.55,-1214.09
1.1,-1176.29,-1177.57,-1179.15,-1180.61,-1181.92,-1183.09
1.2,-1157.7,-1156.77,-1156.97,-1157.49,-1158.11,-1158.76
1.3,-1162.22,-1161.44,-1160.4,-1159.35,-1158.44,-1157.67
1.4,-1162.35,-1162.43,-1162.44,-1162.43,-1162.4,-1162.36
1.5,-1158.2,-1158.62,-1158.8,-1158.91,-1158.98,-1159.03
1.6,-1150.02,-1151.21,-1151.74,-1152.04,-1152.26,-1152.42
1.7,-1137.62,-1140.13,-1141.29,-1142.0,-1142.49,-1142.85
1.8,-1121.23,-1125.51,-1127.56,-1128.84,-1129.73,-1130.4
1.9,-1101.54,-1107.75,-1110.84,-1112.81,-1114.2,-1115.27
2.0,-1079.45,-1087.43,-1091.58,-1094.27,-1096.21,-1097.71
2.1,-1055.72,-1065.2,-1070.29,-1073.66,-1076.14,-1078.08
2.2,-1031.01,-1041.63,-1047.49,-1051.46,-1054.42,-1056.75
2.3,-1005.9,-1017.31,-1023.76,-1028.18,-1031.51,-1034.17
2.4,-980.98,-992.86,-999.66,-1004.38,-1007.98,-1010.88
2.5,-956.59,-968.72,-975.73,-980.64,-984.4,-987.44
2.6,-932.95,-945.19,-952.3,-957.3,-961.16,-964.28
2.7,-910.14,-922.42,-929.57,-934.61,-938.51,-941.68
2.8,-888.19,-900.45,-907.6,-912.66,-916.57,-919.76
2.9,-867.09,-879.29,-886.43,-891.48,-895.39,-898.58
3.0,-846.81,-858.95,-866.05,-871.08,-874.98,-878.15
3.1,-827.33,-839.38,-846.44,-851.44,-855.31,-858.47
3.2,-808.62,-820.57,-827.57,-832.53,-836.38,-839.52
3.3,-790.65,-802.49,-809.42,-814.34,-818.16,-821.27
3.4,-773.39,-785.1,-791.97,-796.84,-800.62,-803.7
3.5,-756.79,-768.38,-775.18,-780.0,-783.74,-786.79
3.6,-740.84,-752.3,-759.02,-763.79,-767.48,-770.5
3.7,-725.49,-736.82,-743.46,-748.17,-751.83,-754.81
3.8,-710.72,-721.91,-728.48,-733.13,-736.74,-739.69
3.9,-696.49,-707.55,-714.04,-718.64,-722.2,-725.11
4.0,-682.78,-693.72,-700.12,-704.66,-708.18,-711.06
4.1,-669.57,-680.37,-686.7,-691.18,-694.66,-697.49
4.2,-656.82,-667.49,-673.74,-678.17,-681.6,-684.4
4.3,-644.52,-655.06,-661.23,-665.6,-668.99,-671.75
4.4,-632.64,-643.05,-649.14,-653.46,-656.8,-659.52
4.5,-621.16,-631.44,-637.45,-641.71,-645.01,-647.7
4.6,-610.05,-620.21,-626.15,-630.36,-633.61,-636.26
4.7,-599.31,-609.35,-615.21,-619.36,-622.57,-625.19
4.8,-588.92,-598.83,-604.62,-608.72,-611.88,-614.47
4.9,-578.85,-588.64,-594.36,-598.4,-601.53,-604.07
5.0,-569.09,-578.76,-584.41,-588.4,-591.48,-594.0
