,0.5,1.0,1.5,2.0,2.5,3.0
0.5,1725.7,1739.4,1747.3,1752.8,1757.0,1760.4
0.6,1784.7,1800.0,1808.9,1815.1,1819.8,1823.7
0.7,1836.0,1852.6,1862.3,1869.0,1874.3,1878.5
0.8,1882.5,1899.8,1910.0,1917.3,1922.8,1927.4
0.9,1926.1,1943.6,1954.1,1961.5,1967.3,1972.0
1.0,1968.5,1985.4,1995.7,2003.1,2009.0,2013.7
1.1,2010.7,2026.3,2036.0,2043.2,2048.8,2053.5
1.2,2053.1,2066.8,2075.6,2082.2,2087.5,2091.9
1.3,2116.0,2123.3,2128.6,2132.9,2136.5,2139.7
1.4,2209.5,2211.1,2212.6,2213.9,2215.2,2216.3
1.5,2298.5,2298.6,2298.7,2298.9,2299.1,2299.3
1.6,2373.5,2373.7,2373.8,2373.9,2373.9,2374.0
1.7,2436.5,2437.1,2437.3,2437.5,2437.6,2437.7
1.8,2489.3,2490.5,2491.0,2491.4,2491.6,2491.8
1.9,2533.1,2535.3,2536.3,2537.0,2537.4,2537.7
2.0,2569.0,2572.5,2574.2,2575.2,2575.9,2576.5
2.1,2597.6,2602.7,2605.2,2606.8,2607.9,2608.7
2.2,2619.4,2626.5,2630.0,2632.3,2633.9,2635.1
2.3,2635.0,2644.2,2648.9,2652.0,2654.2,2655.9
2.4,2644.9,2656.4,2662.4,2666.3,2669.1,2671.3
2.5,2649.8,2663.4,2670.7,2675.5,2679.1,2681.8
2.6,2650.2,2665.9,2674.4,2680.1,2684.4,2687.7
2.7,2647.1,2664.5,2674.1,2680.7,2685.5,2689.4
2.8,2641.4,2660.1,2670.6,2677.8,2683.2,2687.5
2.9,2633.8,2653.5,2664.6,2672.3,2678.1,2682.8
3.0,2625.0,2645.3,2656.8,2664.9,2671.0,2676.0
3.1,2615.4,2636.1,2647.9,2656.2,2662.6,2667.7
3.2,2605.4,2626.3,2638.3,2646.7,2653.2,2658.4
3.3,2595.0,2616.0,2628.1,2636.6,2643.2,2648.5
3.4,2584.6,2605.6,2617.7,2626.3,2632.8,2638.2
3.5,2574.1,2595.1,2607.2,2615.8,2622.3,2627.7
3.6,2563.7,2584.6,2596.7,2605.2,2611.7,2617.0
3.7,2553.4,2574.2,2586.2,2594.6,2601.1,2606.4
3.8,2543.2,2563.8,2575.7,2584.1,2590.6,2595.8
3.9,2533.1,2553.6,2565.4,2573.7,2580.1,2585.3
4.0,2523.3,2543.5,2555.2,2563.5,2569.8,2575.0
4.1,2513.5,2533.6,2545.2,2553.3,2559.6,2564.7
4.2,2504.0,2523.8,2535.3,2543.3,2549.5,2554.6
4.3,2494.6,2514.3,2525.6,2533.5,2539.6,2544.6
4.4,2485.4,2504.8,2516.0,2523.8,2529.9,2534.7
4.5,2476.4,2495.6,2506.6,2514.3,2520.2,2525.1
4.6,2467.5,2486.4,2497.3,2504.9,2510.8,2515.5
4.7,2458.8,2477.5,2488.2,2495.7,2501.5,2506.1
4.8,2450.3,2468.7,2479.2,2486.6,2492.3,2496.9
4.9,2441.9,2460.0,2470.4,2477.7,2483.2,2487.7
5.0,2433.6,2451.5,2461.7,2468.9,2474.3,2478.7
