,0.5,1.0,1.5,2.0,2.5,3.0
0.5,2.316,2.318,2.32,2.321,2.321,2.322
0.6,2.322,2.325,2.327,2.328,2.329,2.329
0.7,2.331,2.334,2.335,2.336,2.337,2.338
0.8,2.343,2.345,2.346,2.347,2.347,2.348
0.9,2.358,2.358,2.359,2.359,2.359,2.36
1.0,2.377,2.375,2.374,2.374,2.374,2.374
1.1,2.402,2.395,2.393,2.391,2.39,2.39
1.2,2.431,2.42,2.415,2.412,2.41,2.408
1.3,2.52,2.492,2.477,2.468,2.461,2.456
1.4,2.568,2.566,2.557,2.549,2.594,2.584
1.5,2.509,2.513,2.519,2.524,2.528,2.531
1.6,2.491,2.492,2.492,2.493,2.493,2.494
1.7,2.475,2.477,2.477,2.478,2.478,2.479
1.8,2.457,2.461,2.462,2.463,2.464,2.464
1.9,2.437,2.443,2.446,2.448,2.449,2.45
2.0,2.416,2.424,2.429,2.431,2.433,2.434
2.1,2.394,2.404,2.41,2.414,2.416,2.418
2.2,2.371,2.384,2.39,2.395,2.398,2.401
2.3,2.35,2.363,2.371,2.376,2.379,2.382
2.4,2.333,2.345,2.352,2.357,2.361,2.364
2.5,2.32,2.33,2.336,2.34,2.344,2.347
2.6,2.312,2.319,2.324,2.327,2.33,2.333
2.7,2.308,2.313,2.316,2.319,2.321,2.323
2.8,2.306,2.31,2.312,2.314,2.316,2.317
2.9,2.305,2.308,2.31,2.312,2.313,2.314
3.0,2.304,2.307,2.309,2.311,2.312,2.313
3.1,2.303,2.306,2.308,2.31,2.311,2.312
3.2,2.302,2.305,2.307,2.309,2.31,2.311
3.3,2.301,2.305,2.307,2.308,2.309,2.31
3.4,2.301,2.304,2.306,2.307,2.308,2.309
3.5,2.3,2.304,2.306,2.307,2.308,2.309
3.6,2.3,2.303,2.305,2.306,2.307,2.308
3.7,2.3,2.303,2.305,2.306,2.307,2.308
3.8,2.3,2.303,2.305,2.306,2.307,2.308
3.9,2.3,2.303,2.304,2.306,2.307,2.308
4.0,2.299,2.303,2.304,2.306,2.307,2.307
4.1,2.299,2.302,2.304,2.306,2.307,2.307
4.2,2.299,2.302,2.304,2.306,2.307,2.307
4.3,2.299,2.303,2.304,2.306,2.307,2.308
4.4,2.299,2.303,2.304,2.306,2.307,2.308
4.5,2.3,2.303,2.305,2.306,2.307,2.308
4.6,2.3,2.303,2.305,2.306,2.307,2.308
4.7,2.3,2.303,2.305,2.306,2.307,2.308
4.8,2.3,2.303,2.305,2.306,2.308,2.308
4.9,2.3,2.303,2.305,2.307,2.308,2.309
5.0,2.3,2.304,2.306,2.307,2.308,2.309
