,0.5,1.0,1.5,2.0,2.5,3.0
0.5,19.606,19.964,20.189,20.356,20.49,20.602
0.6,19.02,19.34,19.543,19.695,19.817,19.919
0.7,18.572,18.86,19.044,19.183,19.294,19.388
0.8,18.219,18.481,18.65,18.776,18.879,18.966
0.9,17.938,18.178,18.333,18.45,18.544,18.625
1.0,17.716,17.935,18.077,18.185,18.273,18.347
1.1,17.542,17.741,17.872,17.972,18.053,18.121
1.2,17.408,17.589,17.709,17.8,17.875,17.938
1.3,17.377,17.528,17.629,17.708,17.773,17.829
1.4,17.52,17.624,17.702,17.764,17.818,17.864
1.5,18.035,18.044,18.058,18.074,18.092,18.111
1.6,18.65,18.651,18.651,18.652,18.653,18.655
1.7,19.261,19.262,19.262,19.262,19.262,19.262
1.8,19.866,19.866,19.866,19.866,19.866,19.866
1.9,20.464,20.464,20.464,20.464,20.464,20.464
2.0,21.054,21.055,21.055,21.055,21.055,21.056
2.1,21.634,21.637,21.638,21.639,21.639,21.639
2.2,22.203,22.209,22.212,22.213,22.214,22.215
2.3,22.754,22.768,22.773,22.776,22.779,22.78
2.4,23.282,23.307,23.318,23.325,23.329,23.332
2.5,23.779,23.822,23.842,23.853,23.861,23.867
2.6,24.238,24.304,24.336,24.355,24.369,24.379
2.7,24.654,24.746,24.792,24.821,24.842,24.858
2.8,25.027,25.144,25.206,25.246,25.276,25.298
2.9,25.362,25.5,25.576,25.627,25.665,25.695
3.0,25.665,25.82,25.907,25.967,26.012,26.048
3.1,25.942,26.11,26.205,26.272,26.323,26.364
3.2,26.198,26.375,26.477,26.549,26.604,26.648
3.3,26.436,26.619,26.726,26.802,26.86,26.907
3.4,26.659,26.847,26.957,27.035,27.095,27.144
3.5,26.868,27.06,27.172,27.252,27.314,27.364
3.6,27.066,27.26,27.373,27.454,27.517,27.568
3.7,27.254,27.448,27.563,27.644,27.708,27.759
3.8,27.431,27.627,27.741,27.823,27.886,27.938
3.9,27.601,27.796,27.91,27.992,28.055,28.107
4.0,27.762,27.956,28.07,28.151,28.214,28.266
4.1,27.915,28.108,28.222,28.302,28.365,28.415
4.2,28.062,28.253,28.366,28.445,28.507,28.557
4.3,28.202,28.392,28.502,28.581,28.642,28.691
4.4,28.336,28.523,28.632,28.71,28.77,28.818
4.5,28.464,28.648,28.756,28.832,28.891,28.938
4.6,28.586,28.768,28.874,28.948,29.006,29.052
4.7,28.703,28.882,28.986,29.059,29.115,29.16
4.8,28.815,28.991,29.092,29.163,29.218,29.263
4.9,28.922,29.094,29.193,29.263,29.316,29.359
5.0,29.025,29.193,29.29,29.357,29.409,29.451
