,0.5,1.0,1.5,2.0,2.5,3.0
0.5,18.603,18.965,19.197,19.371,19.511,19.63
0.6,17.977,18.294,18.5,18.655,18.78,18.887
0.7,17.496,17.775,17.957,18.096,18.209,18.305
0.8,17.125,17.371,17.533,17.656,17.758,17.844
0.9,16.848,17.06,17.202,17.312,17.402,17.48
1.0,16.653,16.83,16.952,17.048,17.127,17.196
1.1,16.534,16.672,16.773,16.854,16.922,16.981
1.2,16.477,16.578,16.656,16.721,16.777,16.826
1.3,16.778,16.788,16.803,16.821,16.84,16.861
1.4,17.407,17.407,17.408,17.409,17.41,17.412
1.5,18.03,18.03,18.031,18.031,18.032,18.032
1.6,18.642,18.644,18.646,18.646,18.647,18.647
1.7,19.239,19.245,19.248,19.25,19.251,19.252
1.8,19.814,19.829,19.835,19.839,19.842,19.844
1.9,20.364,20.389,20.402,20.409,20.415,20.419
2.0,20.882,20.924,20.944,20.957,20.966,20.973
2.1,21.369,21.428,21.458,21.478,21.492,21.502
2.2,21.821,21.9,21.942,21.969,21.989,22.004
2.3,22.24,22.339,22.392,22.428,22.454,22.475
2.4,22.627,22.744,22.809,22.853,22.886,22.913
2.5,22.984,23.118,23.194,23.246,23.285,23.317
2.6,23.314,23.463,23.548,23.607,23.653,23.689
2.7,23.621,23.782,23.875,23.941,23.991,24.032
2.8,23.908,24.079,24.179,24.249,24.304,24.348
2.9,24.177,24.356,24.461,24.536,24.594,24.642
3.0,24.431,24.616,24.726,24.804,24.865,24.915
3.1,24.671,24.861,24.975,25.056,25.119,25.171
3.2,24.898,25.093,25.209,25.293,25.358,25.411
3.3,25.115,25.313,25.432,25.516,25.583,25.637
3.4,25.322,25.522,25.642,25.729,25.796,25.852
3.5,25.519,25.722,25.843,25.93,25.999,26.055
3.6,25.708,25.912,26.034,26.122,26.191,26.248
3.7,25.888,26.094,26.217,26.305,26.375,26.432
3.8,26.062,26.268,26.391,26.48,26.55,26.607
3.9,26.228,26.435,26.559,26.647,26.717,26.774
4.0,26.388,26.595,26.719,26.808,26.877,26.934
4.1,26.542,26.749,26.872,26.961,27.03,27.088
4.2,26.69,26.896,27.02,27.108,27.177,27.234
4.3,26.833,27.038,27.161,27.249,27.318,27.375
4.4,26.97,27.175,27.297,27.385,27.454,27.51
4.5,27.103,27.307,27.428,27.515,27.584,27.64
4.6,27.231,27.433,27.554,27.641,27.708,27.764
4.7,27.354,27.556,27.675,27.761,27.828,27.883
4.8,27.473,27.673,27.792,27.877,27.944,27.998
4.9,27.588,27.787,27.905,27.989,28.055,28.109
5.0,27.699,27.896,28.013,28.097,28.162,28.215
