,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.13657,0.13713,0.13757,0.13791,0.13818,0.13839
0.6,0.18643,0.18591,0.18587,0.18592,0.18601,0.1861
0.7,0.23652,0.23491,0.23431,0.23404,0.2339,0.23383
0.8,0.28506,0.28265,0.28161,0.28104,0.2807,0.28048
0.9,0.33051,0.32794,0.32671,0.32599,0.32553,0.32522
1.0,0.37191,0.36994,0.36888,0.36822,0.36779,0.36749
1.1,0.40957,0.40854,0.40791,0.40751,0.40724,0.40705
1.2,0.44483,0.44451,0.44432,0.4442,0.44415,0.44413
1.3,0.44815,0.44812,0.44807,0.44801,0.44793,0.44785
1.4,0.43909,0.43911,0.43911,0.43912,0.43911,0.43911
1.5,0.4307,0.43079,0.43083,0.43085,0.43086,0.43087
1.6,0.42212,0.42235,0.42246,0.42253,0.42257,0.4226
1.7,0.41284,0.41332,0.41354,0.41368,0.41378,0.41385
1.8,0.40257,0.40338,0.40377,0.40401,0.40419,0.40432
1.9,0.39124,0.3924,0.39297,0.39334,0.39361,0.39381
2.0,0.37891,0.38037,0.38112,0.38161,0.38196,0.38224
2.1,0.36575,0.36741,0.36829,0.36887,0.36929,0.36962
2.2,0.35204,0.35376,0.35468,0.35529,0.35575,0.3561
2.3,0.33809,0.3397,0.34056,0.34114,0.34157,0.34191
2.4,0.32417,0.32552,0.32624,0.32672,0.32707,0.32735
2.5,0.31049,0.31149,0.312,0.31232,0.31255,0.31272
2.6,0.29722,0.2978,0.29804,0.29817,0.29824,0.29829
2.7,0.28443,0.28456,0.28451,0.28443,0.28433,0.28423
2.8,0.27216,0.27184,0.2715,0.2712,0.27093,0.27068
2.9,0.26043,0.25967,0.25905,0.25853,0.25809,0.25769
3.0,0.24924,0.24805,0.24716,0.24644,0.24583,0.2453
3.1,0.23856,0.23698,0.23584,0.23493,0.23417,0.23351
3.2,0.22839,0.22644,0.22507,0.22398,0.22308,0.2223
3.3,0.21869,0.21641,0.21482,0.21358,0.21255,0.21167
3.4,0.20945,0.20686,0.20508,0.20369,0.20255,0.20157
3.5,0.20064,0.19777,0.19581,0.1943,0.19305,0.19198
3.6,0.19224,0.18911,0.187,0.18537,0.18403,0.18289
3.7,0.18422,0.18086,0.17861,0.17688,0.17546,0.17425
3.8,0.17657,0.173,0.17062,0.1688,0.16731,0.16604
3.9,0.16927,0.16551,0.16302,0.16112,0.15957,0.15825
4.0,0.16229,0.15837,0.15578,0.15381,0.1522,0.15084
4.1,0.15562,0.15155,0.14887,0.14684,0.14519,0.14379
4.2,0.14924,0.14504,0.14229,0.14021,0.13852,0.13708
4.3,0.14315,0.13883,0.13602,0.13389,0.13216,0.1307
4.4,0.13731,0.13289,0.13002,0.12786,0.12611,0.12463
4.5,0.13173,0.12722,0.12431,0.12211,0.12034,0.11884
4.6,0.12638,0.1218,0.11885,0.11663,0.11484,0.11333
4.7,0.12126,0.11662,0.11363,0.1114,0.10959,0.10807
4.8,0.11635,0.11166,0.10865,0.1064,0.10459,0.10306
4.9,0.11165,0.10691,0.10389,0.10163,0.09981,0.09829
5.0,0.10714,0.10237,0.09934,0.09707,0.09526,0.09373
