,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.01824,0.0182,0.01825,0.01833,0.01841,0.0185
0.6,0.0155,0.01587,0.01613,0.01633,0.01651,0.01667
0.7,0.01185,0.01267,0.01316,0.01351,0.0138,0.01404
0.8,0.00805,0.00922,0.0099,0.01039,0.01077,0.01109
0.9,0.00477,0.00606,0.00684,0.0074,0.00784,0.00821
1.0,0.00247,0.00358,0.00432,0.00487,0.00531,0.00569
1.1,0.0012,0.00196,0.00254,0.00299,0.00338,0.00371
1.2,0.00059,0.00105,0.00144,0.00178,0.00207,0.00233
1.3,0.00579,0.00581,0.00584,0.00588,0.00593,0.00599
1.4,0.01228,0.01227,0.01228,0.01228,0.01228,0.01229
1.5,0.01799,0.01797,0.01796,0.01796,0.01796,0.01796
1.6,0.02367,0.02362,0.0236,0.02359,0.02358,0.02357
1.7,0.0297,0.02961,0.02956,0.02953,0.02952,0.0295
1.8,0.03629,0.03615,0.03608,0.03603,0.036,0.03598
1.9,0.04352,0.04335,0.04326,0.04321,0.04318,0.04315
2.0,0.05135,0.05121,0.05115,0.05111,0.05108,0.05106
2.1,0.05964,0.05963,0.05964,0.05966,0.05967,0.05968
2.2,0.06817,0.06843,0.06858,0.0687,0.06879,0.06886
2.3,0.0767,0.07734,0.07772,0.078,0.07821,0.07839
2.4,0.08501,0.08612,0.0868,0.08729,0.08767,0.08799
2.5,0.09295,0.09458,0.0956,0.09634,0.09692,0.0974
2.6,0.10042,0.1026,0.10397,0.10498,0.10578,0.10644
2.7,0.10739,0.11012,0.11184,0.11311,0.11413,0.11497
2.8,0.11386,0.1171,0.11915,0.12068,0.12191,0.12293
2.9,0.11985,0.12356,0.12592,0.12769,0.12911,0.1303
3.0,0.12537,0.12952,0.13217,0.13415,0.13574,0.13708
3.1,0.13047,0.135,0.1379,0.14008,0.14183,0.1433
3.2,0.13516,0.14004,0.14317,0.14552,0.14741,0.149
3.3,0.13948,0.14468,0.14801,0.15051,0.15252,0.15421
3.4,0.14346,0.14893,0.15244,0.15507,0.15719,0.15897
3.5,0.14712,0.15284,0.1565,0.15924,0.16145,0.16332
3.6,0.15049,0.15642,0.16021,0.16305,0.16534,0.16727
3.7,0.15359,0.1597,0.16361,0.16654,0.16889,0.17087
3.8,0.15643,0.16271,0.16671,0.16971,0.17212,0.17415
3.9,0.15904,0.16546,0.16955,0.1726,0.17506,0.17712
4.0,0.16144,0.16797,0.17213,0.17523,0.17772,0.17981
4.1,0.16364,0.17026,0.17447,0.17761,0.18013,0.18225
4.2,0.16564,0.17235,0.1766,0.17977,0.18231,0.18445
4.3,0.16747,0.17425,0.17853,0.18172,0.18428,0.18642
4.4,0.16914,0.17596,0.18027,0.18348,0.18604,0.18819
4.5,0.17066,0.17752,0.18184,0.18505,0.18762,0.18977
4.6,0.17203,0.17891,0.18324,0.18645,0.18902,0.19117
4.7,0.17328,0.18017,0.1845,0.1877,0.19026,0.1924
4.8,0.17439,0.18128,0.18561,0.1888,0.19135,0.19348
4.9,0.17539,0.18227,0.18658,0.18977,0.1923,0.19442
5.0,0.17628,0.18315,0.18744,0.1906,0.19312,0.19522
