,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0
1.2,1e-05,1e-05,0.0,0.0,0.0,0.0
1.3,4e-05,3e-05,3e-05,2e-05,2e-05,2e-05
1.4,0.00027,0.00019,0.00016,0.00014,0.00012,0.00011
1.5,0.00105,0.00075,0.00062,0.00054,0.00048,0.00044
1.6,0.00286,0.00208,0.00172,0.0015,0.00135,0.00123
1.7,0.00606,0.00449,0.00375,0.00329,0.00297,0.00273
1.8,0.01062,0.00806,0.00681,0.00602,0.00547,0.00505
1.9,0.01608,0.01252,0.01073,0.00958,0.00876,0.00813
2.0,0.02178,0.01739,0.0151,0.01361,0.01253,0.01169
2.1,0.02706,0.02208,0.01943,0.01768,0.01639,0.01538
2.2,0.03142,0.02614,0.02327,0.02134,0.01991,0.01879
2.3,0.03463,0.02926,0.02631,0.0243,0.0228,0.02161
2.4,0.03672,0.03139,0.02844,0.02642,0.02491,0.02371
2.5,0.03782,0.03261,0.02972,0.02773,0.02624,0.02505
2.6,0.03814,0.03309,0.03028,0.02835,0.02689,0.02573
2.7,0.0379,0.03301,0.03028,0.02841,0.027,0.02587
2.8,0.03724,0.03251,0.02988,0.02807,0.02671,0.02562
2.9,0.03631,0.03174,0.02919,0.02745,0.02614,0.02509
3.0,0.0352,0.03078,0.02832,0.02664,0.02537,0.02436
3.1,0.03397,0.0297,0.02733,0.02571,0.02449,0.02351
3.2,0.03269,0.02856,0.02627,0.02471,0.02353,0.02259
3.3,0.03138,0.02738,0.02518,0.02367,0.02254,0.02163
3.4,0.03006,0.02621,0.02408,0.02263,0.02153,0.02066
3.5,0.02877,0.02504,0.02299,0.02159,0.02054,0.0197
3.6,0.0275,0.0239,0.02192,0.02057,0.01956,0.01875
3.7,0.02626,0.02279,0.02088,0.01958,0.01861,0.01783
3.8,0.02507,0.02172,0.01987,0.01862,0.01769,0.01694
3.9,0.02392,0.02068,0.01891,0.0177,0.0168,0.01609
4.0,0.02282,0.01969,0.01798,0.01682,0.01595,0.01526
4.1,0.02176,0.01874,0.01709,0.01598,0.01514,0.01448
4.2,0.02075,0.01784,0.01625,0.01517,0.01437,0.01373
4.3,0.01978,0.01697,0.01544,0.0144,0.01363,0.01302
4.4,0.01886,0.01614,0.01467,0.01367,0.01293,0.01234
4.5,0.01798,0.01536,0.01393,0.01298,0.01226,0.01169
4.6,0.01714,0.01461,0.01324,0.01231,0.01162,0.01108
4.7,0.01634,0.0139,0.01257,0.01168,0.01102,0.0105
4.8,0.01557,0.01322,0.01194,0.01109,0.01045,0.00995
4.9,0.01485,0.01257,0.01134,0.01052,0.00991,0.00942
5.0,0.01415,0.01196,0.01077,0.00998,0.00939,0.00893
