,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.37295,0.35614,0.3453,0.33716,0.33057,0.32501
0.6,0.39502,0.37997,0.3701,0.36259,0.35647,0.35127
0.7,0.41228,0.39897,0.39007,0.38322,0.3776,0.37279
0.8,0.42576,0.41421,0.40629,0.40012,0.39501,0.39061
0.9,0.43573,0.42606,0.41921,0.41377,0.4092,0.40524
1.0,0.44209,0.43456,0.4289,0.42428,0.42033,0.41685
1.1,0.44508,0.43971,0.43536,0.43166,0.4284,0.42548
1.2,0.44561,0.44202,0.43888,0.43609,0.43355,0.43122
1.3,0.42844,0.42827,0.428,0.42765,0.42723,0.42674
1.4,0.39689,0.39692,0.39691,0.39689,0.39686,0.39683
1.5,0.36457,0.36474,0.36481,0.36485,0.36487,0.36488
1.6,0.33202,0.33246,0.33266,0.33278,0.33285,0.33291
1.7,0.29954,0.30038,0.30077,0.30101,0.30117,0.3013
1.8,0.26761,0.26886,0.26947,0.26986,0.27013,0.27033
1.9,0.23692,0.23848,0.23926,0.23977,0.24012,0.2404
2.0,0.20825,0.20988,0.21074,0.21129,0.2117,0.21201
2.1,0.18227,0.18372,0.1845,0.18502,0.1854,0.1857
2.2,0.15939,0.16044,0.16102,0.16141,0.1617,0.16193
2.3,0.13971,0.14024,0.14053,0.14073,0.14087,0.14098
2.4,0.12303,0.12303,0.123,0.12297,0.12295,0.12293
2.5,0.109,0.1085,0.10818,0.10794,0.10775,0.10759
2.6,0.09718,0.09628,0.09571,0.09529,0.09496,0.09468
2.7,0.0872,0.08597,0.08521,0.08464,0.0842,0.08383
2.8,0.0787,0.07724,0.07633,0.07566,0.07513,0.07469
2.9,0.07142,0.06978,0.06877,0.06802,0.06743,0.06694
3.0,0.06512,0.06337,0.06228,0.06149,0.06085,0.06033
3.1,0.05964,0.05781,0.05668,0.05585,0.05519,0.05465
3.2,0.05482,0.05295,0.0518,0.05095,0.05028,0.04973
3.3,0.05057,0.04868,0.04751,0.04666,0.04599,0.04544
3.4,0.0468,0.0449,0.04374,0.04289,0.04222,0.04166
3.5,0.04342,0.04154,0.04038,0.03954,0.03888,0.03833
3.6,0.04039,0.03852,0.03739,0.03656,0.03591,0.03537
3.7,0.03766,0.03582,0.0347,0.03389,0.03325,0.03272
3.8,0.03518,0.03337,0.03227,0.03148,0.03086,0.03034
3.9,0.03293,0.03116,0.03008,0.02931,0.0287,0.0282
4.0,0.03087,0.02914,0.02809,0.02733,0.02674,0.02625
4.1,0.02899,0.02729,0.02627,0.02554,0.02496,0.02449
4.2,0.02726,0.02561,0.02461,0.0239,0.02334,0.02288
4.3,0.02567,0.02406,0.02309,0.02239,0.02185,0.0214
4.4,0.0242,0.02263,0.02169,0.02101,0.02048,0.02005
4.5,0.02284,0.02131,0.02039,0.01974,0.01923,0.01881
4.6,0.02158,0.02009,0.0192,0.01856,0.01807,0.01766
4.7,0.02041,0.01896,0.01809,0.01748,0.017,0.0166
4.8,0.01932,0.0179,0.01707,0.01647,0.016,0.01562
4.9,0.0183,0.01693,0.01611,0.01553,0.01508,0.01471
5.0,0.01735,0.01601,0.01522,0.01466,0.01422,0.01387
