,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.04653,0.05079,0.05335,0.05522,0.05671,0.05794
0.6,0.03538,0.03984,0.04255,0.04453,0.0461,0.04741
0.7,0.02545,0.02989,0.03264,0.03465,0.03626,0.0376
0.8,0.01698,0.0212,0.02387,0.02585,0.02744,0.02877
0.9,0.01029,0.01402,0.01647,0.01833,0.01984,0.02111
1.0,0.00566,0.00859,0.01067,0.01229,0.01364,0.01479
1.1,0.00295,0.00497,0.00654,0.00783,0.00894,0.00992
1.2,0.00156,0.00283,0.00391,0.00485,0.0057,0.00646
1.3,0.01887,0.01895,0.01907,0.01922,0.01941,0.01962
1.4,0.0478,0.04782,0.04784,0.04785,0.04787,0.04789
1.5,0.07709,0.07714,0.07716,0.07718,0.07719,0.0772
1.6,0.10581,0.10596,0.10603,0.10608,0.10611,0.10614
1.7,0.13326,0.13367,0.13386,0.13398,0.13406,0.13413
1.8,0.15877,0.15963,0.16006,0.16033,0.16052,0.16066
1.9,0.18168,0.18324,0.18403,0.18454,0.18491,0.18519
2.0,0.20145,0.20392,0.20522,0.20608,0.2067,0.20718
2.1,0.21779,0.2213,0.2232,0.22448,0.22542,0.22616
2.2,0.23066,0.23522,0.23777,0.2395,0.2408,0.24183
2.3,0.24033,0.24585,0.249,0.25118,0.25283,0.25416
2.4,0.24728,0.25358,0.25723,0.2598,0.26176,0.26334
2.5,0.25204,0.2589,0.26294,0.2658,0.26801,0.26981
2.6,0.25508,0.26233,0.26663,0.26971,0.27209,0.27405
2.7,0.25682,0.2643,0.26877,0.27198,0.27448,0.27653
2.8,0.25759,0.26517,0.26973,0.27301,0.27558,0.27769
2.9,0.25762,0.26523,0.26981,0.27312,0.27571,0.27784
3.0,0.2571,0.26467,0.26923,0.27253,0.27512,0.27725
3.1,0.25616,0.26364,0.26816,0.27143,0.274,0.27611
3.2,0.2549,0.26228,0.26673,0.26995,0.27248,0.27457
3.3,0.2534,0.26065,0.26503,0.26819,0.27068,0.27273
3.4,0.25173,0.25883,0.26312,0.26622,0.26866,0.27067
3.5,0.24991,0.25687,0.26107,0.26411,0.26649,0.26846
3.6,0.248,0.25481,0.25891,0.26188,0.26421,0.26614
3.7,0.24602,0.25267,0.25668,0.25958,0.26186,0.26373
3.8,0.24398,0.25048,0.2544,0.25723,0.25945,0.26128
3.9,0.24191,0.24826,0.25208,0.25485,0.25702,0.25881
4.0,0.23981,0.24602,0.24975,0.25245,0.25457,0.25631
4.1,0.23771,0.24377,0.24742,0.25005,0.25212,0.25382
4.2,0.2356,0.24152,0.24509,0.24766,0.24968,0.25134
4.3,0.2335,0.23929,0.24277,0.24528,0.24725,0.24887
4.4,0.2314,0.23706,0.24047,0.24292,0.24484,0.24643
4.5,0.22933,0.23486,0.23819,0.24058,0.24246,0.24401
4.6,0.22727,0.23268,0.23593,0.23827,0.24011,0.24162
4.7,0.22523,0.23053,0.2337,0.23599,0.23779,0.23926
4.8,0.22321,0.2284,0.23151,0.23374,0.2355,0.23694
4.9,0.22122,0.2263,0.22934,0.23153,0.23324,0.23465
5.0,0.21925,0.22422,0.2272,0.22934,0.23102,0.2324
