,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0,0.0
1.5,3e-05,2e-05,2e-05,2e-05,1e-05,1e-05
1.6,0.00017,0.00012,0.0001,9e-05,8e-05,7e-05
1.7,0.00061,0.00046,0.00039,0.00034,0.00031,0.00028
1.8,0.00167,0.00129,0.0011,0.00098,0.00089,0.00083
1.9,0.00368,0.00294,0.00255,0.00229,0.00211,0.00197
2.0,0.00689,0.00568,0.00502,0.00457,0.00424,0.00398
2.1,0.01133,0.00964,0.00867,0.008,0.0075,0.00709
2.2,0.01679,0.0147,0.01346,0.01257,0.01189,0.01134
2.3,0.02288,0.02056,0.01911,0.01806,0.01723,0.01655
2.4,0.02919,0.02678,0.02524,0.02409,0.02318,0.02242
2.5,0.03534,0.033,0.03145,0.03028,0.02934,0.02854
2.6,0.04111,0.03892,0.03744,0.03629,0.03536,0.03457
2.7,0.04636,0.04437,0.04298,0.0419,0.04101,0.04025
2.8,0.05104,0.04926,0.04799,0.04699,0.04615,0.04544
2.9,0.05515,0.05357,0.05242,0.0515,0.05073,0.05006
3.0,0.05872,0.05732,0.05628,0.05544,0.05473,0.05411
3.1,0.06179,0.06055,0.05961,0.05884,0.05818,0.05761
3.2,0.06441,0.0633,0.06244,0.06173,0.06112,0.06059
3.3,0.06661,0.06562,0.06483,0.06417,0.0636,0.0631
3.4,0.06846,0.06755,0.06682,0.0662,0.06566,0.06519
3.5,0.06997,0.06914,0.06845,0.06786,0.06735,0.0669
3.6,0.0712,0.07042,0.06976,0.0692,0.06872,0.06828
3.7,0.07217,0.07143,0.0708,0.07026,0.06978,0.06936
3.8,0.07292,0.0722,0.07158,0.07106,0.07059,0.07018
3.9,0.07346,0.07276,0.07215,0.07163,0.07118,0.07077
4.0,0.07383,0.07313,0.07253,0.07201,0.07156,0.07115
4.1,0.07404,0.07333,0.07273,0.07221,0.07176,0.07135
4.2,0.07411,0.07339,0.07278,0.07226,0.0718,0.0714
4.3,0.07405,0.07332,0.07269,0.07217,0.07171,0.0713
4.4,0.07389,0.07313,0.07249,0.07195,0.07149,0.07108
4.5,0.07362,0.07283,0.07218,0.07164,0.07116,0.07074
4.6,0.07327,0.07245,0.07178,0.07122,0.07074,0.07031
4.7,0.07285,0.07199,0.0713,0.07073,0.07023,0.0698
4.8,0.07235,0.07146,0.07075,0.07016,0.06965,0.06921
4.9,0.07179,0.07086,0.07013,0.06952,0.06901,0.06855
5.0,0.07118,0.07021,0.06945,0.06883,0.0683,0.06784
