,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.03935,0.04912,0.05549,0.0603,0.0642,0.06748
0.6,0.02762,0.03557,0.0409,0.04499,0.04834,0.0512
0.7,0.02037,0.02687,0.03134,0.03482,0.03769,0.04016
0.8,0.01556,0.02094,0.02471,0.02768,0.03016,0.0323
0.9,0.0122,0.0167,0.0199,0.02245,0.0246,0.02647
1.0,0.00976,0.01355,0.0163,0.0185,0.02038,0.02201
1.1,0.00793,0.01116,0.01353,0.01545,0.01709,0.01853
1.2,0.00654,0.00931,0.01136,0.01304,0.01449,0.01576
1.3,0.00564,0.00802,0.00981,0.01128,0.01255,0.01368
1.4,0.00324,0.00624,0.00847,0.01026,0.01144,0.01245
1.5,9e-05,0.00034,0.00072,0.00117,0.00166,0.00217
1.6,0.0,1e-05,3e-05,5e-05,8e-05,0.00012
1.7,0.0,0.0,0.0,0.0,1e-05,1e-05
1.8,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0
4.6,0.0,0.0,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0,0.0,0.0
4.8,0.0,0.0,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
