,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.06433,0.06486,0.06529,0.06563,0.06591,0.06615
0.6,0.10241,0.10166,0.10144,0.10137,0.10135,0.10137
0.7,0.14447,0.14225,0.14123,0.14064,0.14024,0.13996
0.8,0.18852,0.18485,0.18303,0.18188,0.18107,0.18046
0.9,0.23323,0.2283,0.22572,0.22405,0.22284,0.22191
1.0,0.27767,0.27173,0.26853,0.2664,0.26483,0.2636
1.1,0.32117,0.31456,0.31088,0.30838,0.30652,0.30505
1.2,0.36338,0.35638,0.35239,0.34963,0.34755,0.34589
1.3,0.39804,0.3922,0.38878,0.38635,0.38447,0.38293
1.4,0.4137,0.41281,0.41214,0.41159,0.4104,0.40935
1.5,0.40235,0.4023,0.40222,0.40213,0.40203,0.40193
1.6,0.39338,0.39335,0.39334,0.39333,0.39332,0.39331
1.7,0.38549,0.38544,0.38541,0.38539,0.38538,0.38537
1.8,0.37772,0.37761,0.37756,0.37753,0.37751,0.37749
1.9,0.36954,0.36937,0.36929,0.36924,0.36921,0.36918
2.0,0.36063,0.36041,0.3603,0.36023,0.36019,0.36015
2.1,0.35072,0.35049,0.35036,0.35028,0.35022,0.35018
2.2,0.33955,0.33937,0.33926,0.33918,0.33912,0.33907
2.3,0.32686,0.32683,0.32678,0.32673,0.32669,0.32665
2.4,0.3125,0.3127,0.31275,0.31276,0.31275,0.31274
2.5,0.29651,0.29693,0.29709,0.29717,0.29722,0.29724
2.6,0.2793,0.27977,0.27997,0.28009,0.28016,0.28021
2.7,0.26162,0.2618,0.26188,0.26192,0.26195,0.26197
2.8,0.24428,0.24383,0.24358,0.24341,0.24328,0.24318
2.9,0.22781,0.22658,0.22585,0.22534,0.22496,0.22466
3.0,0.21245,0.21042,0.20918,0.2083,0.20762,0.20706
3.1,0.19823,0.19546,0.19376,0.19251,0.19154,0.19074
3.2,0.18507,0.18168,0.17956,0.178,0.17677,0.17575
3.3,0.17289,0.16896,0.1665,0.16468,0.16323,0.16203
3.4,0.16159,0.15722,0.15447,0.15243,0.15081,0.14946
3.5,0.15107,0.14633,0.14335,0.14115,0.13939,0.13793
3.6,0.14126,0.13623,0.13307,0.13073,0.12887,0.12731
3.7,0.1321,0.12683,0.12352,0.12108,0.11914,0.11752
3.8,0.12352,0.11806,0.11465,0.11213,0.11013,0.10846
3.9,0.11548,0.10988,0.10639,0.10382,0.10178,0.10008
4.0,0.10794,0.10223,0.09869,0.09608,0.09401,0.0923
4.1,0.10085,0.09507,0.0915,0.08887,0.0868,0.08507
4.2,0.09419,0.08837,0.08478,0.08216,0.08008,0.07836
4.3,0.08792,0.08208,0.0785,0.07589,0.07383,0.07212
4.4,0.08202,0.07619,0.07263,0.07004,0.068,0.06632
4.5,0.07646,0.07067,0.06714,0.06458,0.06257,0.06092
4.6,0.07123,0.06549,0.06201,0.05949,0.05752,0.0559
4.7,0.0663,0.06063,0.05721,0.05474,0.05281,0.05123
4.8,0.06166,0.05607,0.05272,0.05031,0.04843,0.04689
4.9,0.05729,0.0518,0.04852,0.04618,0.04435,0.04286
5.0,0.05318,0.0478,0.04461,0.04233,0.04056,0.03912
