,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.03901,0.03795,0.03742,0.03709,0.03687,0.03671
0.6,0.04229,0.04147,0.04105,0.04079,0.0406,0.04047
0.7,0.04293,0.04264,0.04247,0.04237,0.0423,0.04225
0.8,0.04184,0.04218,0.04234,0.04244,0.04253,0.0426
0.9,0.03971,0.04066,0.04116,0.0415,0.04176,0.04196
1.0,0.03706,0.03855,0.03936,0.03992,0.04034,0.04068
1.1,0.03427,0.03617,0.03724,0.03799,0.03856,0.03902
1.2,0.03159,0.03378,0.03504,0.03593,0.03662,0.03718
1.3,0.0316,0.03341,0.03449,0.03529,0.03592,0.03645
1.4,0.03742,0.03802,0.03848,0.03886,0.03925,0.03959
1.5,0.04658,0.04661,0.04665,0.04669,0.04675,0.0468
1.6,0.05309,0.05312,0.05313,0.05314,0.05315,0.05316
1.7,0.05854,0.05859,0.05862,0.05864,0.05865,0.05866
1.8,0.06389,0.064,0.06405,0.06409,0.06411,0.06412
1.9,0.06967,0.06985,0.06993,0.06998,0.07002,0.07004
2.0,0.07618,0.07642,0.07653,0.07661,0.07666,0.0767
2.1,0.08366,0.08394,0.08409,0.08418,0.08425,0.0843
2.2,0.09232,0.09261,0.09277,0.09288,0.09296,0.09302
2.3,0.10232,0.10259,0.10275,0.10286,0.10294,0.10301
2.4,0.11373,0.11398,0.11413,0.11424,0.11433,0.11439
2.5,0.12638,0.12671,0.1269,0.12703,0.12712,0.1272
2.6,0.13976,0.14044,0.14078,0.141,0.14116,0.14128
2.7,0.15311,0.15448,0.15518,0.15563,0.15595,0.1562
2.8,0.16566,0.16801,0.16928,0.17011,0.17072,0.17119
2.9,0.17696,0.18039,0.18233,0.18365,0.18464,0.18541
3.0,0.18692,0.19136,0.19394,0.19576,0.19714,0.19826
3.1,0.19561,0.20091,0.20407,0.20632,0.20807,0.20949
3.2,0.20317,0.20918,0.21282,0.21544,0.21749,0.21917
3.3,0.20977,0.21635,0.22036,0.22327,0.22556,0.22745
3.4,0.21553,0.22256,0.22687,0.23,0.23248,0.23452
3.5,0.22056,0.22795,0.23248,0.23578,0.2384,0.24056
3.6,0.22497,0.23262,0.23732,0.24075,0.24346,0.24571
3.7,0.22882,0.23667,0.24149,0.24501,0.24779,0.2501
3.8,0.23219,0.24017,0.24508,0.24865,0.25148,0.25382
3.9,0.23511,0.24319,0.24814,0.25175,0.25459,0.25695
4.0,0.23765,0.24578,0.25074,0.25436,0.25721,0.25957
4.1,0.23984,0.24797,0.25293,0.25653,0.25937,0.26172
4.2,0.24171,0.24982,0.25475,0.25832,0.26114,0.26346
4.3,0.24328,0.25134,0.25623,0.25976,0.26254,0.26482
4.4,0.24459,0.25257,0.2574,0.26088,0.26361,0.26585
4.5,0.24566,0.25354,0.25829,0.2617,0.26438,0.26657
4.6,0.2465,0.25426,0.25892,0.26226,0.26487,0.26701
4.7,0.24713,0.25475,0.25931,0.26257,0.26511,0.26719
4.8,0.24757,0.25504,0.25948,0.26266,0.26512,0.26714
4.9,0.24782,0.25513,0.25946,0.26253,0.26492,0.26687
5.0,0.24791,0.25504,0.25924,0.26222,0.26452,0.2664
