,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,0.0
1.8,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1.9,8e-05,5e-05,4e-05,4e-05,3e-05,3e-05
2.0,0.00024,0.00016,0.00013,0.00011,0.0001,9e-05
2.1,0.00063,0.00043,0.00034,0.00029,0.00025,0.00023
2.2,0.00143,0.00096,0.00076,0.00065,0.00057,0.00052
2.3,0.00282,0.00191,0.00152,0.00129,0.00114,0.00103
2.4,0.00492,0.00339,0.00272,0.00232,0.00205,0.00185
2.5,0.00759,0.0054,0.00439,0.00377,0.00335,0.00304
2.6,0.01045,0.00772,0.00639,0.00556,0.00498,0.00455
2.7,0.01299,0.00998,0.00844,0.00745,0.00674,0.00621
2.8,0.01486,0.01179,0.01018,0.00912,0.00835,0.00775
2.9,0.016,0.013,0.0114,0.01034,0.00956,0.00895
3.0,0.01653,0.01363,0.01208,0.01105,0.01029,0.00969
3.1,0.0166,0.01381,0.01233,0.01134,0.0106,0.01003
3.2,0.01635,0.01368,0.01225,0.0113,0.0106,0.01004
3.3,0.01589,0.01332,0.01196,0.01104,0.01037,0.00984
3.4,0.01529,0.01283,0.01152,0.01065,0.01,0.0095
3.5,0.01461,0.01225,0.011,0.01016,0.00955,0.00906
3.6,0.01389,0.01163,0.01042,0.00963,0.00904,0.00858
3.7,0.01315,0.01098,0.00983,0.00907,0.0085,0.00806
3.8,0.0124,0.01032,0.00922,0.0085,0.00796,0.00754
3.9,0.01166,0.00967,0.00863,0.00793,0.00742,0.00703
4.0,0.01094,0.00904,0.00804,0.00738,0.0069,0.00652
4.1,0.01023,0.00843,0.00748,0.00685,0.00639,0.00603
4.2,0.00956,0.00784,0.00694,0.00634,0.00591,0.00557
4.3,0.00891,0.00727,0.00642,0.00585,0.00544,0.00512
4.4,0.00829,0.00674,0.00593,0.00539,0.005,0.0047
4.5,0.00771,0.00623,0.00546,0.00496,0.00459,0.0043
4.6,0.00715,0.00575,0.00502,0.00455,0.0042,0.00393
4.7,0.00662,0.00529,0.00461,0.00416,0.00384,0.00359
4.8,0.00612,0.00487,0.00422,0.0038,0.0035,0.00326
4.9,0.00565,0.00446,0.00386,0.00346,0.00318,0.00296
5.0,0.00521,0.00409,0.00352,0.00315,0.00288,0.00268
