,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.35182,0.33587,0.32588,0.3185,0.31261,0.30769
0.6,0.3727,0.35803,0.34871,0.34178,0.3362,0.33153
0.7,0.38731,0.37394,0.36535,0.35889,0.35367,0.34928
0.8,0.39786,0.38573,0.37782,0.37184,0.36697,0.36286
0.9,0.40561,0.3946,0.38734,0.38181,0.37729,0.37345
1.0,0.41129,0.40132,0.39466,0.38955,0.38536,0.38178
1.1,0.41536,0.40635,0.40026,0.39554,0.39166,0.38833
1.2,0.41818,0.41003,0.40446,0.40013,0.39653,0.39344
1.3,0.41843,0.41126,0.40631,0.40243,0.39918,0.39637
1.4,0.415,0.40892,0.40439,0.40076,0.39782,0.39529
1.5,0.39366,0.39309,0.39226,0.39126,0.39017,0.38905
1.6,0.36325,0.36325,0.36322,0.36317,0.3631,0.36302
1.7,0.33199,0.33204,0.33206,0.33207,0.33208,0.33208
1.8,0.30102,0.30113,0.30118,0.30121,0.30123,0.30125
1.9,0.27084,0.27103,0.27112,0.27117,0.27121,0.27123
2.0,0.24172,0.242,0.24214,0.24222,0.24228,0.24232
2.1,0.21385,0.21424,0.21443,0.21455,0.21463,0.2147
2.2,0.18737,0.18789,0.18814,0.1883,0.18842,0.18851
2.3,0.16248,0.16312,0.16344,0.16364,0.16379,0.1639
2.4,0.13944,0.14014,0.14051,0.14074,0.14091,0.14104
2.5,0.11863,0.11925,0.1196,0.11982,0.11999,0.12013
2.6,0.10049,0.1008,0.10101,0.10117,0.1013,0.1014
2.7,0.0853,0.08511,0.08506,0.08506,0.08508,0.0851
2.8,0.07298,0.07222,0.07186,0.07164,0.0715,0.07139
2.9,0.06311,0.06188,0.06123,0.0608,0.06049,0.06025
3.0,0.05519,0.05362,0.05274,0.05215,0.0517,0.05135
3.1,0.04873,0.04695,0.04593,0.04522,0.04469,0.04425
3.2,0.04338,0.04149,0.04039,0.03961,0.03902,0.03854
3.3,0.03888,0.03693,0.03579,0.03499,0.03437,0.03387
3.4,0.03505,0.03308,0.03193,0.03112,0.03049,0.02998
3.5,0.03173,0.02978,0.02864,0.02783,0.02721,0.0267
3.6,0.02884,0.02692,0.0258,0.02501,0.02439,0.02389
3.7,0.02629,0.02442,0.02332,0.02255,0.02195,0.02146
3.8,0.02402,0.02221,0.02115,0.0204,0.01982,0.01934
3.9,0.022,0.02024,0.01922,0.01849,0.01793,0.01748
4.0,0.02019,0.01849,0.0175,0.0168,0.01626,0.01582
4.1,0.01855,0.01691,0.01596,0.01529,0.01477,0.01435
4.2,0.01707,0.01548,0.01457,0.01393,0.01343,0.01303
4.3,0.01572,0.01419,0.01332,0.0127,0.01222,0.01184
4.4,0.01448,0.01302,0.01218,0.01159,0.01114,0.01077
4.5,0.01336,0.01195,0.01114,0.01058,0.01015,0.0098
4.6,0.01232,0.01097,0.0102,0.00966,0.00925,0.00892
4.7,0.01137,0.01008,0.00934,0.00882,0.00843,0.00812
4.8,0.01049,0.00925,0.00855,0.00806,0.00769,0.00739
4.9,0.00968,0.0085,0.00782,0.00736,0.00701,0.00672
5.0,0.00894,0.0078,0.00716,0.00672,0.00638,0.00611
