,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.0746,0.08014,0.08333,0.08558,0.08732,0.08873
0.6,0.06334,0.06949,0.07309,0.07564,0.07761,0.07923
0.7,0.05368,0.06004,0.06383,0.06653,0.06865,0.07038
0.8,0.04555,0.05187,0.05569,0.05846,0.06063,0.06242
0.9,0.03874,0.04486,0.04863,0.05139,0.05356,0.05537
1.0,0.03307,0.03889,0.04255,0.04524,0.04738,0.04917
1.1,0.02837,0.03385,0.03733,0.03993,0.04201,0.04376
1.2,0.02451,0.02961,0.0329,0.03538,0.03738,0.03906
1.3,0.02271,0.02724,0.0302,0.03245,0.03429,0.03585
1.4,0.02629,0.02904,0.03109,0.03272,0.03434,0.03574
1.5,0.04869,0.04896,0.04937,0.04986,0.05039,0.05094
1.6,0.07676,0.07675,0.07675,0.07677,0.07681,0.07684
1.7,0.10562,0.10557,0.10554,0.10553,0.10552,0.10551
1.8,0.1342,0.13409,0.13404,0.13401,0.13399,0.13398
1.9,0.16198,0.16181,0.16173,0.16168,0.16165,0.16162
2.0,0.18865,0.18843,0.18832,0.18825,0.1882,0.18816
2.1,0.21391,0.21368,0.21356,0.21348,0.21342,0.21338
2.2,0.23743,0.2373,0.23721,0.23714,0.23709,0.23705
2.3,0.25877,0.25893,0.25896,0.25896,0.25894,0.25893
2.4,0.27734,0.27811,0.2784,0.27855,0.27864,0.2787
2.5,0.29254,0.29428,0.29504,0.29547,0.29575,0.29595
2.6,0.3039,0.30692,0.30834,0.30921,0.30979,0.31023
2.7,0.31144,0.31579,0.31799,0.31938,0.32037,0.32111
2.8,0.31571,0.32116,0.32407,0.32599,0.32739,0.32847
2.9,0.31754,0.32373,0.32716,0.32949,0.33123,0.3326
3.0,0.31771,0.3243,0.32805,0.33065,0.33262,0.33419
3.1,0.31677,0.32355,0.32746,0.3302,0.33229,0.33398
3.2,0.31512,0.32194,0.3259,0.32869,0.33084,0.33258
3.3,0.313,0.31977,0.32372,0.32651,0.32867,0.33042
3.4,0.31057,0.31723,0.32113,0.3239,0.32603,0.32777
3.5,0.30793,0.31447,0.3183,0.32101,0.32311,0.32482
3.6,0.30517,0.31156,0.3153,0.31795,0.32,0.32168
3.7,0.30233,0.30856,0.3122,0.31479,0.31679,0.31843
3.8,0.29945,0.30551,0.30906,0.31158,0.31353,0.31512
3.9,0.29655,0.30244,0.30589,0.30834,0.31023,0.31178
4.0,0.29364,0.29937,0.30273,0.3051,0.30694,0.30844
4.1,0.29074,0.29632,0.29958,0.30188,0.30367,0.30512
4.2,0.28787,0.29329,0.29645,0.29869,0.30042,0.30183
4.3,0.28502,0.29029,0.29336,0.29553,0.29721,0.29858
4.4,0.2822,0.28732,0.2903,0.29241,0.29404,0.29536
4.5,0.27942,0.2844,0.28729,0.28933,0.29091,0.29219
4.6,0.27668,0.28151,0.28432,0.2863,0.28783,0.28907
4.7,0.27397,0.27867,0.2814,0.28332,0.28479,0.286
4.8,0.27131,0.27587,0.27851,0.28038,0.28181,0.28297
4.9,0.26868,0.27312,0.27568,0.27748,0.27887,0.27999
5.0,0.2661,0.2704,0.27289,0.27463,0.27598,0.27706
