,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.0
2.1,6e-05,4e-05,3e-05,3e-05,2e-05,2e-05
2.2,0.00021,0.00014,0.00011,9e-05,8e-05,7e-05
2.3,0.00064,0.00043,0.00034,0.00028,0.00025,0.00022
2.4,0.00165,0.00113,0.0009,0.00076,0.00067,0.0006
2.5,0.00362,0.00258,0.00208,0.00179,0.00158,0.00143
2.6,0.00679,0.0051,0.00424,0.00369,0.00331,0.00302
2.7,0.01101,0.00877,0.00753,0.00671,0.0061,0.00564
2.8,0.01578,0.01324,0.01175,0.01071,0.00993,0.0093
2.9,0.02052,0.01796,0.01639,0.01526,0.01437,0.01365
3.0,0.02488,0.02246,0.02093,0.0198,0.01891,0.01816
3.1,0.02869,0.02647,0.02504,0.02397,0.02311,0.0224
3.2,0.03193,0.0299,0.02858,0.02759,0.02679,0.02612
3.3,0.03462,0.03276,0.03155,0.03064,0.0299,0.02927
3.4,0.03682,0.0351,0.03398,0.03313,0.03244,0.03186
3.5,0.03858,0.03698,0.03592,0.03512,0.03447,0.03393
3.6,0.03997,0.03844,0.03744,0.03668,0.03606,0.03553
3.7,0.04102,0.03955,0.03858,0.03785,0.03725,0.03674
3.8,0.04178,0.04035,0.0394,0.03868,0.0381,0.03761
3.9,0.0423,0.04088,0.03994,0.03923,0.03866,0.03817
4.0,0.04259,0.04118,0.04024,0.03954,0.03896,0.03847
4.1,0.0427,0.04127,0.04033,0.03962,0.03904,0.03855
4.2,0.04264,0.04119,0.04024,0.03952,0.03894,0.03844
4.3,0.04243,0.04096,0.03999,0.03926,0.03866,0.03816
4.4,0.0421,0.04059,0.0396,0.03886,0.03825,0.03774
4.5,0.04165,0.04011,0.0391,0.03833,0.03771,0.03719
4.6,0.04111,0.03952,0.03848,0.0377,0.03707,0.03654
4.7,0.04048,0.03885,0.03778,0.03698,0.03634,0.0358
4.8,0.03978,0.0381,0.03701,0.03619,0.03553,0.03497
4.9,0.03901,0.03728,0.03616,0.03532,0.03465,0.03408
5.0,0.03819,0.03641,0.03526,0.03441,0.03372,0.03314
