,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.12057,0.12112,0.12156,0.12191,0.12218,0.1224
0.6,0.16888,0.16828,0.16817,0.16818,0.16823,0.16829
0.7,0.21851,0.21667,0.21592,0.21553,0.2153,0.21515
0.8,0.26786,0.26492,0.26357,0.26278,0.26226,0.2619
0.9,0.31562,0.31197,0.31016,0.30905,0.30829,0.30773
1.0,0.36065,0.3569,0.3549,0.35362,0.35272,0.35204
1.1,0.40229,0.39909,0.39723,0.39598,0.39507,0.39437
1.2,0.44062,0.43836,0.43691,0.43588,0.4351,0.43449
1.3,0.44659,0.44649,0.44634,0.44615,0.44595,0.44573
1.4,0.43656,0.43656,0.43656,0.43655,0.43654,0.43653
1.5,0.4279,0.42791,0.42792,0.42793,0.42793,0.42793
1.6,0.41948,0.41955,0.41958,0.4196,0.41961,0.41962
1.7,0.41068,0.41087,0.41095,0.411,0.41104,0.41106
1.8,0.40108,0.40147,0.40166,0.40177,0.40184,0.4019
1.9,0.39041,0.39109,0.39141,0.39161,0.39175,0.39186
2.0,0.37855,0.37955,0.38004,0.38035,0.38057,0.38074
2.1,0.36554,0.36683,0.36748,0.3679,0.3682,0.36843
2.2,0.3516,0.35306,0.35382,0.35432,0.35468,0.35495
2.3,0.33705,0.33852,0.33929,0.3398,0.34018,0.34047
2.4,0.32229,0.32356,0.32424,0.32469,0.32502,0.32528
2.5,0.30764,0.30858,0.30906,0.30936,0.30959,0.30976
2.6,0.29338,0.29386,0.29407,0.29418,0.29424,0.29429
2.7,0.27964,0.27962,0.27951,0.27939,0.27927,0.27916
2.8,0.2665,0.26597,0.26554,0.26517,0.26486,0.26458
2.9,0.25399,0.25297,0.25221,0.25161,0.2511,0.25066
3.0,0.24211,0.24061,0.23956,0.23872,0.23803,0.23744
3.1,0.23083,0.2289,0.22756,0.22652,0.22566,0.22492
3.2,0.22012,0.2178,0.21621,0.21498,0.21396,0.2131
3.3,0.20997,0.20728,0.20546,0.20406,0.20291,0.20193
3.4,0.20033,0.19731,0.19529,0.19374,0.19247,0.19138
3.5,0.19117,0.18786,0.18566,0.18397,0.18259,0.18142
3.6,0.18247,0.1789,0.17653,0.17473,0.17326,0.17201
3.7,0.17419,0.17039,0.16789,0.16598,0.16443,0.16311
3.8,0.16632,0.16231,0.15968,0.15769,0.15607,0.1547
3.9,0.15883,0.15464,0.1519,0.14983,0.14815,0.14673
4.0,0.15169,0.14734,0.14451,0.14238,0.14065,0.13919
4.1,0.14489,0.1404,0.13749,0.1353,0.13353,0.13204
4.2,0.1384,0.13379,0.13082,0.12859,0.12678,0.12526
4.3,0.13221,0.1275,0.12448,0.12221,0.12038,0.11884
4.4,0.12631,0.12151,0.11844,0.11614,0.11429,0.11274
4.5,0.12067,0.11581,0.1127,0.11038,0.10851,0.10695
4.6,0.11529,0.11036,0.10723,0.1049,0.10302,0.10145
4.7,0.11014,0.10518,0.10203,0.09968,0.0978,0.09623
4.8,0.10523,0.10023,0.09707,0.09472,0.09284,0.09127
4.9,0.10053,0.09551,0.09234,0.09,0.08812,0.08656
5.0,0.09604,0.091,0.08784,0.0855,0.08363,0.08208
