,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0
1.4,5e-05,3e-05,3e-05,2e-05,2e-05,2e-05
1.5,0.00024,0.00017,0.00014,0.00012,0.00011,0.0001
1.6,0.00084,0.0006,0.00049,0.00042,0.00038,0.00035
1.7,0.0022,0.00158,0.0013,0.00113,0.00102,0.00093
1.8,0.00466,0.0034,0.00282,0.00246,0.00221,0.00203
1.9,0.00828,0.00617,0.00516,0.00454,0.0041,0.00378
2.0,0.0128,0.00978,0.00828,0.00734,0.00668,0.00617
2.1,0.0177,0.01386,0.01191,0.01065,0.00975,0.00906
2.2,0.02235,0.01794,0.01563,0.01411,0.01301,0.01215
2.3,0.02627,0.02154,0.01901,0.01732,0.01608,0.01511
2.4,0.02918,0.02436,0.02174,0.01997,0.01866,0.01763
2.5,0.03107,0.0263,0.02368,0.0219,0.02057,0.01951
2.6,0.03207,0.02741,0.02484,0.0231,0.02178,0.02074
2.7,0.03237,0.02786,0.02536,0.02366,0.02239,0.02137
2.8,0.03216,0.02779,0.02538,0.02374,0.02251,0.02152
2.9,0.03158,0.02737,0.02504,0.02346,0.02226,0.02132
3.0,0.03076,0.02669,0.02445,0.02292,0.02177,0.02086
3.1,0.02979,0.02585,0.02369,0.02222,0.02111,0.02023
3.2,0.02871,0.02491,0.02283,0.02141,0.02034,0.0195
3.3,0.02758,0.02391,0.0219,0.02054,0.01951,0.0187
3.4,0.02642,0.02289,0.02095,0.01963,0.01865,0.01787
3.5,0.02527,0.02186,0.01999,0.01873,0.01778,0.01703
3.6,0.02413,0.02084,0.01904,0.01782,0.01691,0.01619
3.7,0.02302,0.01984,0.01811,0.01694,0.01606,0.01537
3.8,0.02193,0.01887,0.01721,0.01608,0.01524,0.01457
3.9,0.02088,0.01793,0.01633,0.01525,0.01444,0.0138
4.0,0.01988,0.01703,0.01549,0.01445,0.01367,0.01306
4.1,0.01891,0.01617,0.01468,0.01368,0.01293,0.01234
4.2,0.01798,0.01534,0.01391,0.01295,0.01223,0.01166
4.3,0.01709,0.01455,0.01317,0.01225,0.01156,0.01102
4.4,0.01624,0.01379,0.01247,0.01158,0.01092,0.0104
4.5,0.01543,0.01307,0.0118,0.01095,0.01031,0.00981
4.6,0.01465,0.01238,0.01116,0.01034,0.00974,0.00926
4.7,0.01392,0.01173,0.01056,0.00977,0.00919,0.00873
4.8,0.01322,0.01111,0.00998,0.00923,0.00867,0.00823
4.9,0.01255,0.01052,0.00944,0.00871,0.00818,0.00776
5.0,0.01191,0.00996,0.00892,0.00823,0.00771,0.00731
