,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.36806,0.35155,0.341,0.33309,0.32672,0.32136
0.6,0.38918,0.37431,0.36465,0.35734,0.35141,0.34638
0.7,0.40541,0.39215,0.38338,0.37668,0.3712,0.36653
0.8,0.41811,0.40639,0.39849,0.3924,0.38737,0.38307
0.9,0.42793,0.41773,0.41071,0.40522,0.40066,0.39672
1.0,0.43511,0.4265,0.42039,0.41553,0.41144,0.40789
1.1,0.43974,0.43282,0.42767,0.42348,0.41991,0.41677
1.2,0.44205,0.4368,0.43267,0.4292,0.42617,0.42347
1.3,0.42988,0.42933,0.4285,0.4275,0.42639,0.42521
1.4,0.39963,0.39961,0.39957,0.39952,0.39945,0.39937
1.5,0.36811,0.36814,0.36815,0.36815,0.36815,0.36814
1.6,0.33643,0.33656,0.33662,0.33665,0.33667,0.33668
1.7,0.30494,0.30527,0.30542,0.30551,0.30557,0.30561
1.8,0.27386,0.27449,0.27479,0.27496,0.27509,0.27518
1.9,0.24357,0.24453,0.24499,0.24527,0.24547,0.24562
2.0,0.21461,0.21581,0.21641,0.21679,0.21706,0.21726
2.1,0.18766,0.18892,0.18956,0.18998,0.19028,0.19051
2.2,0.16336,0.16442,0.16498,0.16536,0.16563,0.16585
2.3,0.14211,0.14276,0.14312,0.14336,0.14354,0.14369
2.4,0.12399,0.12412,0.12419,0.12424,0.12428,0.12431
2.5,0.10879,0.1084,0.10816,0.108,0.10787,0.10777
2.6,0.09611,0.09526,0.09475,0.09438,0.0941,0.09387
2.7,0.08552,0.08431,0.08357,0.08304,0.08263,0.08229
2.8,0.07662,0.07513,0.07423,0.07358,0.07307,0.07265
2.9,0.06908,0.0674,0.06638,0.06564,0.06506,0.06458
3.0,0.06262,0.06082,0.05972,0.05892,0.0583,0.05778
3.1,0.05706,0.05518,0.05403,0.05319,0.05254,0.052
3.2,0.05221,0.05029,0.04911,0.04826,0.04759,0.04704
3.3,0.04796,0.04602,0.04484,0.04398,0.04331,0.04275
3.4,0.04421,0.04226,0.04109,0.04023,0.03956,0.03901
3.5,0.04087,0.03894,0.03778,0.03693,0.03627,0.03573
3.6,0.03788,0.03598,0.03483,0.03401,0.03336,0.03282
3.7,0.0352,0.03333,0.03221,0.0314,0.03076,0.03024
3.8,0.03278,0.03095,0.02985,0.02905,0.02844,0.02793
3.9,0.03058,0.02879,0.02772,0.02695,0.02634,0.02585
4.0,0.02858,0.02683,0.02579,0.02504,0.02445,0.02397
4.1,0.02675,0.02505,0.02404,0.02331,0.02274,0.02227
4.2,0.02508,0.02342,0.02243,0.02173,0.02118,0.02073
4.3,0.02354,0.02193,0.02097,0.02029,0.01975,0.01932
4.4,0.02212,0.02055,0.01963,0.01896,0.01845,0.01803
4.5,0.02081,0.01929,0.01839,0.01775,0.01725,0.01684
4.6,0.0196,0.01812,0.01725,0.01663,0.01614,0.01575
4.7,0.01847,0.01704,0.01619,0.01559,0.01513,0.01474
4.8,0.01742,0.01603,0.01521,0.01463,0.01418,0.01382
4.9,0.01645,0.0151,0.01431,0.01374,0.01331,0.01295
5.0,0.01554,0.01423,0.01346,0.01292,0.0125,0.01216
