,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0
1.6,3e-05,2e-05,2e-05,2e-05,1e-05,1e-05
1.7,0.00015,0.00011,9e-05,8e-05,7e-05,7e-05
1.8,0.00054,0.00039,0.00033,0.00029,0.00026,0.00024
1.9,0.00145,0.0011,0.00092,0.00082,0.00074,0.00068
2.0,0.00324,0.00253,0.00216,0.00193,0.00176,0.00163
2.1,0.00618,0.00498,0.00434,0.00391,0.0036,0.00336
2.2,0.01033,0.00861,0.00765,0.007,0.00651,0.00612
2.3,0.01551,0.01336,0.01209,0.01121,0.01053,0.00999
2.4,0.02131,0.0189,0.01742,0.01636,0.01553,0.01485
2.5,0.02729,0.0248,0.02322,0.02206,0.02114,0.02038
2.6,0.03309,0.03067,0.02909,0.0279,0.02695,0.02615
2.7,0.03846,0.0362,0.03469,0.03354,0.0326,0.03181
2.8,0.0433,0.04124,0.03983,0.03875,0.03786,0.0371
2.9,0.04756,0.04571,0.04442,0.04342,0.04258,0.04187
3.0,0.05127,0.04961,0.04844,0.04751,0.04674,0.04608
3.1,0.05445,0.05297,0.05189,0.05104,0.05033,0.04972
3.2,0.05716,0.05582,0.05484,0.05405,0.05339,0.05282
3.3,0.05943,0.05821,0.05731,0.05658,0.05596,0.05543
3.4,0.06132,0.0602,0.05936,0.05867,0.05809,0.05759
3.5,0.06287,0.06183,0.06103,0.06038,0.05983,0.05935
3.6,0.06411,0.06313,0.06237,0.06175,0.06123,0.06076
3.7,0.0651,0.06415,0.06342,0.06282,0.06231,0.06186
3.8,0.06584,0.06493,0.06422,0.06363,0.06313,0.06269
3.9,0.06638,0.06548,0.06478,0.0642,0.06371,0.06327
4.0,0.06673,0.06584,0.06514,0.06457,0.06408,0.06365
4.1,0.06693,0.06603,0.06533,0.06475,0.06426,0.06383
4.2,0.06697,0.06606,0.06536,0.06478,0.06428,0.06385
4.3,0.06689,0.06596,0.06525,0.06466,0.06416,0.06373
4.4,0.0667,0.06574,0.06502,0.06442,0.06392,0.06348
4.5,0.06641,0.06542,0.06468,0.06407,0.06356,0.06311
4.6,0.06603,0.06501,0.06424,0.06363,0.0631,0.06265
4.7,0.06557,0.06451,0.06373,0.0631,0.06256,0.0621
4.8,0.06504,0.06395,0.06314,0.06249,0.06195,0.06147
4.9,0.06445,0.06331,0.06248,0.06182,0.06126,0.06078
5.0,0.0638,0.06263,0.06177,0.06109,0.06052,0.06003
