,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.7061,0.69,0.6801,0.6728,0.6671,0.6624
0.6,0.7139,0.7009,0.6919,0.6851,0.6796,0.675
0.7,0.7094,0.7019,0.6953,0.6898,0.6852,0.6812
0.8,0.6974,0.6959,0.6923,0.6887,0.6853,0.6822
0.9,0.6816,0.6856,0.6851,0.6834,0.6814,0.6794
1.0,0.6644,0.6731,0.6752,0.6754,0.6748,0.6739
1.1,0.6475,0.6597,0.6641,0.666,0.6666,0.6667
1.2,0.6318,0.6465,0.6527,0.6559,0.6576,0.6586
1.3,0.6218,0.6368,0.6437,0.6475,0.6499,0.6515
1.4,0.5934,0.6254,0.6381,0.6445,0.6471,0.6487
1.5,0.5281,0.5355,0.5454,0.556,0.5661,0.5753
1.6,0.5407,0.5409,0.5413,0.5419,0.5426,0.5434
1.7,0.5551,0.5552,0.5553,0.5553,0.5554,0.5555
1.8,0.5682,0.5688,0.569,0.5692,0.5693,0.5693
1.9,0.5779,0.5799,0.5807,0.5812,0.5816,0.5818
2.0,0.5804,0.5859,0.5883,0.5897,0.5906,0.5913
2.1,0.5712,0.5833,0.5886,0.5918,0.594,0.5955
2.2,0.548,0.5693,0.5792,0.5852,0.5893,0.5923
2.3,0.5146,0.5447,0.5597,0.569,0.5756,0.5806
2.4,0.4806,0.5149,0.5335,0.5458,0.5547,0.5615
2.5,0.4565,0.4887,0.5079,0.5213,0.5314,0.5394
2.6,0.4481,0.4738,0.4905,0.5028,0.5125,0.5204
2.7,0.4543,0.4731,0.4858,0.4956,0.5036,0.5103
2.8,0.4683,0.483,0.4927,0.5002,0.5063,0.5114
2.9,0.483,0.4967,0.5052,0.5115,0.5165,0.5207
3.0,0.4944,0.5086,0.5171,0.5233,0.528,0.532
3.1,0.5019,0.5167,0.5256,0.532,0.537,0.541
3.2,0.5062,0.5214,0.5305,0.5371,0.5422,0.5464
3.3,0.5083,0.5235,0.5328,0.5394,0.5446,0.5488
3.4,0.5091,0.5242,0.5334,0.5399,0.5451,0.5493
3.5,0.5093,0.5242,0.5331,0.5396,0.5446,0.5487
3.6,0.5092,0.5238,0.5325,0.5388,0.5438,0.5478
3.7,0.509,0.5233,0.5319,0.5381,0.5429,0.5469
3.8,0.5089,0.523,0.5315,0.5375,0.5423,0.5461
3.9,0.5089,0.5229,0.5313,0.5372,0.5419,0.5457
4.0,0.5091,0.523,0.5313,0.5372,0.5418,0.5455
4.1,0.5095,0.5234,0.5316,0.5375,0.542,0.5457
4.2,0.5101,0.524,0.5322,0.538,0.5426,0.5463
4.3,0.5109,0.5248,0.533,0.5389,0.5434,0.5471
4.4,0.5119,0.5258,0.5341,0.54,0.5446,0.5483
4.5,0.5131,0.5271,0.5354,0.5414,0.546,0.5497
4.6,0.5144,0.5286,0.537,0.543,0.5476,0.5514
4.7,0.516,0.5303,0.5388,0.5449,0.5496,0.5534
4.8,0.5177,0.5322,0.5408,0.5469,0.5517,0.5556
4.9,0.5196,0.5343,0.543,0.5492,0.5541,0.558
5.0,0.5217,0.5366,0.5454,0.5517,0.5567,0.5607
