,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.0374,0.0746,0.1117,0.1487,0.1857,0.2226
0.6,0.0373,0.0742,0.111,0.1478,0.1845,0.2212
0.7,0.0369,0.0736,0.1101,0.1465,0.1829,0.2192
0.8,0.0365,0.0728,0.1089,0.1449,0.181,0.2169
0.9,0.036,0.0718,0.1075,0.1431,0.1787,0.2143
1.0,0.0353,0.0707,0.1059,0.1411,0.1762,0.2113
1.1,0.0345,0.0693,0.104,0.1387,0.1733,0.208
1.2,0.0336,0.0677,0.1018,0.1359,0.1701,0.2042
1.3,0.0311,0.0636,0.0965,0.1295,0.1627,0.1959
1.4,0.028,0.057,0.0866,0.1165,0.1469,0.1775
1.5,0.028,0.0561,0.0843,0.1126,0.1412,0.1699
1.6,0.0285,0.057,0.0856,0.1141,0.1426,0.1711
1.7,0.0291,0.0581,0.087,0.116,0.145,0.174
1.8,0.0296,0.0591,0.0886,0.118,0.1474,0.1769
1.9,0.0303,0.0603,0.0902,0.1201,0.15,0.1799
2.0,0.031,0.0615,0.092,0.1224,0.1528,0.1831
2.1,0.0318,0.063,0.094,0.1249,0.1558,0.1866
2.2,0.0327,0.0645,0.0962,0.1277,0.1591,0.1905
2.3,0.0336,0.0662,0.0986,0.1307,0.1628,0.1947
2.4,0.0346,0.068,0.1011,0.134,0.1667,0.1993
2.5,0.0355,0.0698,0.1037,0.1373,0.1708,0.2042
2.6,0.0362,0.0714,0.1061,0.1406,0.1749,0.209
2.7,0.0368,0.0728,0.1083,0.1435,0.1786,0.2135
2.8,0.0373,0.0738,0.11,0.146,0.1817,0.2174
2.9,0.0376,0.0746,0.1113,0.1478,0.1842,0.2204
3.0,0.0379,0.0752,0.1122,0.1491,0.1859,0.2226
3.1,0.038,0.0755,0.1129,0.15,0.1871,0.2241
3.2,0.0381,0.0758,0.1133,0.1507,0.1879,0.2252
3.3,0.0382,0.076,0.1136,0.1511,0.1885,0.2259
3.4,0.0382,0.0761,0.1138,0.1514,0.1889,0.2264
3.5,0.0383,0.0762,0.1139,0.1516,0.1892,0.2267
3.6,0.0383,0.0762,0.114,0.1517,0.1894,0.2269
3.7,0.0383,0.0763,0.1141,0.1518,0.1895,0.2271
3.8,0.0383,0.0763,0.1141,0.1519,0.1895,0.2271
3.9,0.0383,0.0763,0.1141,0.1519,0.1895,0.2271
4.0,0.0383,0.0763,0.1141,0.1519,0.1895,0.2271
4.1,0.0383,0.0763,0.1141,0.1518,0.1895,0.227
4.2,0.0383,0.0763,0.1141,0.1518,0.1894,0.2269
4.3,0.0383,0.0762,0.114,0.1517,0.1893,0.2268
4.4,0.0383,0.0762,0.1139,0.1516,0.1892,0.2267
4.5,0.0383,0.0761,0.1139,0.1515,0.189,0.2265
4.6,0.0383,0.0761,0.1138,0.1514,0.1888,0.2263
4.7,0.0382,0.076,0.1137,0.1512,0.1887,0.226
4.8,0.0382,0.076,0.1136,0.1511,0.1885,0.2258
4.9,0.0382,0.0759,0.1135,0.1509,0.1882,0.2255
5.0,0.0381,0.0758,0.1133,0.1507,0.188,0.2252
