,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.289,0.5776,0.8661,1.1545,1.4428,1.7312
0.6,0.2882,0.576,0.8636,1.1511,1.4387,1.7261
0.7,0.2872,0.5739,0.8606,1.1471,1.4336,1.7201
0.8,0.2857,0.5713,0.8569,1.1423,1.4277,1.7131
0.9,0.2838,0.568,0.8522,1.1364,1.4206,1.7048
1.0,0.2812,0.5638,0.8465,1.1293,1.4121,1.695
1.1,0.2781,0.5585,0.8395,1.1207,1.402,1.6834
1.2,0.2749,0.5529,0.8317,1.111,1.3906,1.6703
1.3,0.2713,0.5433,0.8164,1.0905,1.3656,1.6413
1.4,0.2727,0.5455,0.8182,1.091,1.3639,1.6368
1.5,0.2741,0.5481,0.8221,1.0961,1.37,1.644
1.6,0.2755,0.5507,0.8258,1.1009,1.376,1.6511
1.7,0.2771,0.5535,0.8298,1.106,1.3822,1.6583
1.8,0.2789,0.5566,0.8341,1.1114,1.3887,1.6659
1.9,0.2807,0.5599,0.8387,1.1173,1.3957,1.674
2.0,0.2825,0.5632,0.8434,1.1233,1.403,1.6825
2.1,0.2841,0.5664,0.848,1.1293,1.4103,1.6911
2.2,0.2856,0.5694,0.8524,1.1351,1.4175,1.6996
2.3,0.2868,0.572,0.8565,1.1405,1.4242,1.7077
2.4,0.2878,0.5742,0.8599,1.1452,1.4302,1.7149
2.5,0.2886,0.5759,0.8627,1.1491,1.4352,1.721
2.6,0.2892,0.5773,0.8649,1.1521,1.4391,1.7259
2.7,0.2896,0.5782,0.8665,1.1544,1.4421,1.7296
2.8,0.2899,0.579,0.8676,1.1561,1.4443,1.7324
2.9,0.2901,0.5795,0.8685,1.1573,1.4459,1.7345
3.0,0.2903,0.5799,0.8691,1.1582,1.4472,1.736
3.1,0.2904,0.5802,0.8696,1.1589,1.4481,1.7371
3.2,0.2905,0.5804,0.87,1.1594,1.4487,1.7379
3.3,0.2906,0.5806,0.8703,1.1598,1.4492,1.7386
3.4,0.2907,0.5807,0.8705,1.1601,1.4496,1.739
3.5,0.2907,0.5808,0.8707,1.1603,1.4499,1.7394
3.6,0.2908,0.5809,0.8708,1.1605,1.4501,1.7397
3.7,0.2908,0.5809,0.8709,1.1606,1.4503,1.7399
3.8,0.2908,0.581,0.8709,1.1607,1.4504,1.74
3.9,0.2908,0.581,0.871,1.1608,1.4505,1.7401
4.0,0.2908,0.581,0.871,1.1608,1.4505,1.7402
4.1,0.2908,0.581,0.871,1.1608,1.4506,1.7402
4.2,0.2908,0.581,0.871,1.1608,1.4506,1.7402
4.3,0.2908,0.581,0.871,1.1608,1.4505,1.7401
4.4,0.2908,0.581,0.871,1.1608,1.4505,1.7401
4.5,0.2908,0.581,0.8709,1.1607,1.4504,1.74
4.6,0.2908,0.581,0.8709,1.1607,1.4503,1.7399
4.7,0.2908,0.5809,0.8708,1.1606,1.4502,1.7397
4.8,0.2908,0.5809,0.8708,1.1605,1.4501,1.7396
4.9,0.2908,0.5808,0.8707,1.1604,1.4499,1.7394
5.0,0.2907,0.5808,0.8706,1.1603,1.4498,1.7392
