,0.5,1.0,1.5,2.0,2.5,3.0
0.5,1.0247,2.013,2.9892,3.958,4.9216,5.8813
0.6,0.95178,1.8673,2.7704,3.6659,4.556,5.4419
0.7,0.8912000000000001,1.7476,2.5918,3.4283,4.2594,5.0863
0.8,0.83753,1.6438,2.4383,3.2254,4.0072,4.7849
0.9,0.78729,1.5491,2.3002,3.0445,3.7837,4.5191
1.0,0.7388600000000001,1.4598,2.1718,2.8777,3.5792,4.2771
1.1,0.69293,1.3751,2.0507,2.7215,3.3885,4.0525
1.2,0.6512800000000001,1.2968,1.938,2.5758,3.2108,3.8434
1.3,0.59379,1.1874,1.7807,2.3735,2.9658,3.5575
1.4,0.54325,1.0863,1.6292,2.1722,2.7151,3.258
1.5,0.50732,1.0139,1.5204,2.0268,2.5332,3.0395
1.6,0.48129,0.9609400000000001,1.4403,1.9195,2.3986,2.8776
1.7,0.46246000000000004,0.9219400000000001,1.3808,1.8394,2.2977,2.756
1.8,0.44901,0.89344,1.3369,1.7797,2.2222,2.6645
1.9,0.43965,0.87302,1.3049,1.7359,2.1663,2.5964
2.0,0.43345000000000006,0.85895,1.2823,1.7046,2.126,2.5469
2.1,0.4297500000000001,0.8499599999999999,1.2675,1.6835,2.0984,2.5126
2.2,0.42805000000000004,0.8450900000000001,1.2589,1.6707,2.0813,2.4909
2.3,0.4279200000000001,0.84354,1.2554,1.6649,2.0729,2.4797
2.4,0.42900000000000005,0.84461,1.2559,1.6647,2.0716,2.4772
2.5,0.43098000000000003,0.8476800000000001,1.2597,1.6688,2.076,2.4815
2.6,0.43362,0.85224,1.2658,1.6763,2.0846,2.4912
2.7,0.43673000000000006,0.85788,1.2737,1.6863,2.0965,2.5049
2.8,0.44016000000000005,0.86429,1.2829,1.6981,2.1108,2.5215
2.9,0.44382000000000005,0.8712300000000002,1.2929,1.7111,2.1267,2.5403
3.0,0.44763000000000003,0.87853,1.3036,1.725,2.1438,2.5605
3.1,0.45153,0.88608,1.3147,1.7396,2.1618,2.5818
3.2,0.45549,0.89378,1.326,1.7545,2.1802,2.6038
3.3,0.45948000000000006,0.9015700000000001,1.3376,1.7697,2.1991,2.6262
3.4,0.46347,0.9094,1.3492,1.785,2.2181,2.6489
3.5,0.46745000000000003,0.91723,1.3608,1.8004,2.2372,2.6718
3.6,0.47141000000000005,0.9250400000000001,1.3724,1.8158,2.2564,2.6947
3.7,0.47535,0.9328099999999999,1.384,1.8312,2.2755,2.7175
3.8,0.47925000000000006,0.9405300000000001,1.3955,1.8464,2.2945,2.7403
3.9,0.48312,0.94819,1.4069,1.8616,2.3134,2.7629
4.0,0.48694,0.9557700000000001,1.4182,1.8767,2.3322,2.7854
4.1,0.49072,0.96328,1.4295,1.8916,2.3508,2.8077
4.2,0.49446000000000007,0.9707100000000001,1.4406,1.9064,2.3693,2.8299
4.3,0.49816000000000005,0.97807,1.4516,1.921,2.3876,2.8518
4.4,0.50181,0.9853400000000001,1.4625,1.9356,2.4057,2.8735
4.5,0.50542,0.99253,1.4732,1.9499,2.4236,2.8951
4.6,0.5089800000000001,0.99964,1.4839,1.9641,2.4414,2.9164
4.7,0.5125000000000001,1.0067,1.4945,1.9782,2.459,2.9375
4.8,0.51598,1.0136,1.5049,1.9921,2.4764,2.9585
4.9,0.5194200000000001,1.0205,1.5152,2.0059,2.4937,2.9792
5.0,0.5228200000000001,1.0273,1.5255,2.0196,2.5108,2.9998
