,0.5,1.0,1.5,2.0,2.5,3.0
0.5,745.8,753.2,757.3,760.1,762.2,763.9
0.6,777.8,785.9,790.6,793.7,796.2,798.1
0.7,809.3,817.5,822.3,825.7,828.3,830.3
0.8,842.8,849.9,854.3,857.5,859.9,862.0
0.9,880.1,884.6,887.8,890.4,892.4,894.2
1.0,921.3,922.3,923.8,925.2,926.5,927.6
1.1,962.6,961.4,961.3,961.5,961.9,962.4
1.2,1000.4,998.9,998.1,997.6,997.4,997.3
1.3,1050.0,1049.9,1049.7,1049.4,1049.1,1048.8
1.4,1090.3,1090.8,1091.1,1091.2,1091.2,1091.3
1.5,1120.4,1121.9,1122.5,1122.9,1123.2,1123.4
1.6,1141.3,1144.5,1145.9,1146.8,1147.4,1147.9
1.7,1154.8,1159.9,1162.3,1163.9,1165.0,1165.8
1.8,1162.6,1169.6,1173.1,1175.4,1177.0,1178.2
1.9,1166.2,1174.8,1179.3,1182.3,1184.4,1186.1
2.0,1166.8,1176.7,1182.0,1185.6,1188.2,1190.3
2.1,1165.2,1176.0,1182.0,1186.1,1189.1,1191.5
2.2,1161.9,1173.4,1179.9,1184.4,1187.7,1190.4
2.3,1157.6,1169.6,1176.4,1181.1,1184.7,1187.6
2.4,1152.7,1164.9,1172.0,1176.9,1180.6,1183.6
2.5,1147.5,1159.9,1167.0,1172.0,1175.8,1178.9
2.6,1142.1,1154.5,1161.7,1166.8,1170.7,1173.8
2.7,1136.6,1149.0,1156.3,1161.4,1165.3,1168.5
2.8,1131.0,1143.5,1150.8,1155.9,1159.8,1163.0
2.9,1125.6,1138.0,1145.3,1150.4,1154.3,1157.5
3.0,1120.1,1132.6,1139.8,1144.9,1148.8,1152.0
3.1,1114.8,1127.2,1134.4,1139.4,1143.4,1146.5
3.2,1109.6,1121.9,1129.0,1134.1,1138.0,1141.1
3.3,1104.4,1116.6,1123.8,1128.8,1132.7,1135.8
3.4,1099.4,1111.5,1118.6,1123.6,1127.5,1130.6
3.5,1094.5,1106.6,1113.6,1118.5,1122.4,1125.5
3.6,1089.7,1101.7,1108.7,1113.6,1117.4,1120.5
3.7,1085.1,1097.0,1103.9,1108.8,1112.5,1115.6
3.8,1080.5,1092.3,1099.2,1104.0,1107.8,1110.8
3.9,1076.1,1087.8,1094.6,1099.4,1103.1,1106.2
4.0,1071.8,1083.4,1090.2,1094.9,1098.6,1101.6
4.1,1067.6,1079.1,1085.8,1090.6,1094.2,1097.2
4.2,1063.6,1075.0,1081.6,1086.3,1089.9,1092.8
4.3,1059.6,1070.9,1077.5,1082.1,1085.7,1088.6
4.4,1055.7,1066.9,1073.5,1078.1,1081.6,1084.5
4.5,1051.9,1063.1,1069.5,1074.1,1077.6,1080.5
4.6,1048.3,1059.3,1065.7,1070.2,1073.7,1076.6
4.7,1044.7,1055.6,1062.0,1066.5,1069.9,1072.7
4.8,1041.2,1052.0,1058.3,1062.8,1066.2,1069.0
4.9,1037.8,1048.5,1054.8,1059.2,1062.6,1065.3
5.0,1034.5,1045.1,1051.3,1055.7,1059.0,1061.8
