,0.5,1.0,1.5,2.0,2.5,3.0
0.5,719.4,726.2,730.1,732.7,734.7,736.3
0.6,747.4,755.1,759.4,762.5,764.8,766.6
0.7,773.8,781.9,786.5,789.8,792.3,794.4
0.8,800.1,808.0,812.6,816.0,818.6,820.7
0.9,827.9,834.6,838.8,842.0,844.4,846.5
1.0,858.4,862.9,866.1,868.7,870.8,872.6
1.1,891.9,893.3,895.1,896.7,898.2,899.5
1.2,926.3,925.3,925.5,926.1,926.8,927.5
1.3,978.9,978.1,977.1,976.0,975.0,974.3
1.4,1020.8,1020.9,1020.9,1020.9,1020.9,1020.8
1.5,1053.9,1054.3,1054.4,1054.5,1054.6,1054.6
1.6,1079.4,1080.5,1081.0,1081.3,1081.5,1081.7
1.7,1098.2,1100.5,1101.5,1102.2,1102.6,1102.9
1.8,1110.9,1114.8,1116.6,1117.8,1118.6,1119.2
1.9,1118.8,1124.3,1127.0,1128.8,1130.0,1131.0
2.0,1122.7,1129.8,1133.4,1135.8,1137.5,1138.8
2.1,1123.6,1132.0,1136.5,1139.5,1141.7,1143.3
2.2,1122.3,1131.7,1136.9,1140.4,1143.0,1145.0
2.3,1119.4,1129.5,1135.2,1139.1,1142.0,1144.4
2.4,1115.5,1126.1,1132.1,1136.3,1139.4,1142.0
2.5,1111.0,1121.8,1128.0,1132.4,1135.7,1138.4
2.6,1106.1,1117.1,1123.5,1127.9,1131.3,1134.1
2.7,1101.1,1112.2,1118.6,1123.1,1126.6,1129.4
2.8,1096.1,1107.2,1113.7,1118.2,1121.7,1124.5
2.9,1091.0,1102.1,1108.6,1113.1,1116.7,1119.5
3.0,1086.0,1097.1,1103.5,1108.1,1111.6,1114.4
3.1,1081.0,1092.0,1098.5,1103.0,1106.5,1109.4
3.2,1076.0,1087.1,1093.5,1098.0,1101.5,1104.4
3.3,1071.2,1082.2,1088.6,1093.1,1096.5,1099.4
3.4,1066.4,1077.3,1083.7,1088.2,1091.7,1094.5
3.5,1061.8,1072.6,1078.9,1083.4,1086.8,1089.6
3.6,1057.2,1068.0,1074.3,1078.7,1082.1,1084.9
3.7,1052.8,1063.5,1069.7,1074.1,1077.5,1080.3
3.8,1048.4,1059.1,1065.2,1069.6,1073.0,1075.7
3.9,1044.2,1054.7,1060.9,1065.2,1068.5,1071.3
4.0,1040.1,1050.5,1056.6,1060.9,1064.2,1066.9
4.1,1036.1,1046.4,1052.5,1056.7,1060.0,1062.7
4.2,1032.1,1042.4,1048.4,1052.6,1055.9,1058.5
4.3,1028.3,1038.5,1044.4,1048.6,1051.8,1054.5
4.4,1024.6,1034.7,1040.6,1044.7,1047.9,1050.5
4.5,1020.9,1031.0,1036.8,1040.9,1044.0,1046.6
4.6,1017.4,1027.3,1033.1,1037.2,1040.3,1042.8
4.7,1013.9,1023.8,1029.5,1033.5,1036.6,1039.1
4.8,1010.5,1020.3,1026.0,1029.9,1033.0,1035.5
4.9,1007.2,1016.9,1022.5,1026.5,1029.5,1032.0
5.0,1004.0,1013.6,1019.2,1023.1,1026.1,1028.5
