,0.5,1.0,1.5,2.0,2.5,3.0
0.5,-2676.05,-2699.65,-2713.24,-2722.74,-2730.02,-2735.89
0.6,-2681.79,-2709.01,-2724.82,-2735.94,-2744.49,-2751.42
0.7,-2688.63,-2718.9,-2736.64,-2749.18,-2758.87,-2766.74
0.8,-2698.72,-2731.17,-2750.37,-2764.04,-2774.65,-2783.3
0.9,-2713.81,-2747.23,-2767.29,-2781.68,-2792.91,-2802.12
1.0,-2735.46,-2768.3,-2788.43,-2803.05,-2814.54,-2824.01
1.1,-2764.64,-2795.26,-2814.6,-2828.86,-2840.2,-2849.63
1.2,-2801.12,-2828.35,-2846.13,-2859.51,-2870.29,-2879.33
1.3,-2889.02,-2903.13,-2913.52,-2922.05,-2929.39,-2935.89
1.4,-3053.14,-3055.52,-3058.02,-3060.41,-3062.63,-3064.76
1.5,-3212.86,-3213.09,-3213.26,-3213.46,-3213.68,-3213.93
1.6,-3349.29,-3349.86,-3350.11,-3350.27,-3350.38,-3350.47
1.7,-3464.75,-3466.24,-3466.91,-3467.31,-3467.59,-3467.8
1.8,-3561.13,-3564.32,-3565.79,-3566.68,-3567.29,-3567.74
1.9,-3639.68,-3645.52,-3648.26,-3649.94,-3651.1,-3651.98
2.0,-3701.34,-3710.82,-3715.37,-3718.2,-3720.19,-3721.68
2.1,-3746.91,-3761.0,-3767.91,-3772.26,-3775.35,-3777.69
2.2,-3777.13,-3796.65,-3806.44,-3812.69,-3817.16,-3820.57
2.3,-3792.76,-3818.28,-3831.36,-3839.82,-3845.94,-3850.65
2.4,-3794.92,-3826.62,-3843.23,-3854.13,-3862.09,-3868.27
2.5,-3785.12,-3822.75,-3842.88,-3856.29,-3866.17,-3873.9
2.6,-3765.31,-3808.17,-3831.56,-3847.34,-3859.09,-3868.36
2.7,-3737.87,-3784.84,-3810.97,-3828.86,-3842.27,-3852.93
2.8,-3705.06,-3755.04,-3783.25,-3802.73,-3817.48,-3829.3
2.9,-3668.82,-3720.82,-3750.49,-3771.13,-3786.87,-3799.55
3.0,-3630.59,-3683.85,-3714.47,-3735.88,-3752.29,-3765.55
3.1,-3591.38,-3645.35,-3676.52,-3698.4,-3715.23,-3728.86
3.2,-3551.89,-3606.16,-3637.6,-3659.74,-3676.79,-3690.63
3.3,-3512.57,-3566.85,-3598.37,-3620.59,-3637.74,-3651.67
3.4,-3473.72,-3527.8,-3559.25,-3581.45,-3598.59,-3612.53
3.5,-3435.53,-3489.26,-3520.54,-3542.63,-3559.69,-3573.58
3.6,-3398.12,-3451.4,-3482.43,-3504.35,-3521.28,-3535.07
3.7,-3361.56,-3414.31,-3445.03,-3466.74,-3483.51,-3497.16
3.8,-3325.9,-3378.05,-3408.42,-3429.88,-3446.46,-3459.96
3.9,-3291.14,-3342.66,-3372.65,-3393.83,-3410.2,-3423.52
4.0,-3257.28,-3308.13,-3337.72,-3358.61,-3374.75,-3387.88
4.1,-3224.32,-3274.47,-3303.64,-3324.23,-3340.12,-3353.05
4.2,-3192.23,-3241.67,-3270.4,-3290.67,-3306.31,-3319.03
4.3,-3160.98,-3209.7,-3237.99,-3257.93,-3273.31,-3285.82
4.4,-3130.56,-3178.54,-3206.37,-3225.98,-3241.1,-3253.39
4.5,-3100.93,-3148.17,-3175.54,-3194.81,-3209.66,-3221.72
4.6,-3072.07,-3118.55,-3145.45,-3164.38,-3178.96,-3190.8
4.7,-3043.93,-3089.65,-3116.09,-3134.67,-3148.98,-3160.58
4.8,-3016.49,-3061.45,-3087.42,-3105.66,-3119.68,-3131.06
4.9,-2989.73,-3033.93,-3059.42,-3077.31,-3091.05,-3102.19
5.0,-2963.61,-3007.04,-3032.05,-3049.59,-3063.06,-3073.97
