,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.39821,0.40792,0.41378,0.41802,0.42134,0.42409
0.6,0.41446,0.42453,0.43066,0.43511,0.43862,0.44152
0.7,0.42946,0.43958,0.44581,0.45036,0.45396,0.45695
0.8,0.4447,0.4544,0.46049,0.46499,0.46857,0.47156
0.9,0.46154,0.47014,0.47575,0.47998,0.48339,0.48626
1.0,0.48096,0.4877,0.49243,0.49612,0.49917,0.50178
1.1,0.50279,0.50739,0.51095,0.51389,0.51639,0.51859
1.2,0.52573,0.52861,0.53105,0.53317,0.53506,0.53677
1.3,0.57275,0.57289,0.57309,0.57335,0.57367,0.57403
1.4,0.63057,0.63069,0.63075,0.63079,0.63083,0.63087
1.5,0.68426,0.68467,0.68486,0.68497,0.68505,0.68511
1.6,0.73362,0.7347,0.73519,0.7355,0.73571,0.73586
1.7,0.77834,0.78055,0.7816,0.78224,0.78269,0.78303
1.8,0.81829,0.82206,0.8239,0.82505,0.82587,0.82648
1.9,0.85355,0.85919,0.86203,0.86384,0.86514,0.86613
2.0,0.88432,0.89201,0.89599,0.89858,0.90046,0.90191
2.1,0.91084,0.92062,0.92582,0.92927,0.9318,0.93377
2.2,0.93335,0.94518,0.95162,0.95595,0.95916,0.96169
2.3,0.95219,0.96592,0.97354,0.97873,0.98263,0.98572
2.4,0.96778,0.98317,0.99186,0.99785,1.0024,1.006
2.5,0.98059,0.99737,1.007,1.0137,1.0188,1.0229
2.6,0.99107,1.009,1.0193,1.0266,1.0322,1.0367
2.7,0.99963,1.0184,1.0294,1.0371,1.0431,1.0479
2.8,1.0066,1.0261,1.0375,1.0456,1.0519,1.057
2.9,1.0123,1.0323,1.0441,1.0525,1.059,1.0643
3.0,1.017,1.0374,1.0494,1.058,1.0646,1.0701
3.1,1.0208,1.0414,1.0536,1.0623,1.0691,1.0746
3.2,1.0238,1.0446,1.0569,1.0657,1.0726,1.0782
3.3,1.0263,1.0471,1.0595,1.0684,1.0753,1.0809
3.4,1.0282,1.0491,1.0615,1.0703,1.0773,1.083
3.5,1.0296,1.0505,1.0629,1.0718,1.0787,1.0844
3.6,1.0307,1.0515,1.0639,1.0727,1.0796,1.0853
3.7,1.0314,1.0522,1.0645,1.0733,1.0802,1.0858
3.8,1.0319,1.0525,1.0648,1.0735,1.0804,1.086
3.9,1.0321,1.0526,1.0647,1.0734,1.0802,1.0858
4.0,1.032,1.0524,1.0645,1.0731,1.0798,1.0853
4.1,1.0318,1.052,1.064,1.0725,1.0792,1.0847
4.2,1.0314,1.0515,1.0633,1.0718,1.0784,1.0838
4.3,1.0309,1.0507,1.0625,1.0708,1.0774,1.0827
4.4,1.0302,1.0499,1.0615,1.0697,1.0762,1.0815
4.5,1.0294,1.0489,1.0603,1.0685,1.0749,1.0801
4.6,1.0285,1.0478,1.0591,1.0672,1.0735,1.0786
4.7,1.0275,1.0465,1.0577,1.0657,1.0719,1.077
4.8,1.0265,1.0452,1.0563,1.0642,1.0703,1.0753
4.9,1.0253,1.0439,1.0548,1.0626,1.0686,1.0735
5.0,1.0241,1.0424,1.0532,1.0609,1.0668,1.0717
