,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.34586,0.35282,0.357,0.36003,0.3624,0.36435
0.6,0.3597,0.36707,0.37152,0.37473,0.37725,0.37933
0.7,0.3702,0.37787,0.38251,0.38588,0.38852,0.39071
0.8,0.37859,0.38647,0.39125,0.39473,0.39747,0.39973
0.9,0.38559,0.3936,0.39848,0.40203,0.40483,0.40715
1.0,0.39156,0.39967,0.40462,0.40822,0.41106,0.41342
1.1,0.39672,0.40493,0.40993,0.41356,0.41644,0.41882
1.2,0.40121,0.40951,0.41456,0.41823,0.42113,0.42354
1.3,0.40336,0.41213,0.41745,0.4213,0.42433,0.42684
1.4,0.40689,0.41328,0.41779,0.42126,0.42442,0.42707
1.5,0.44131,0.44181,0.44258,0.4435,0.44449,0.44551
1.6,0.48025,0.48018,0.48017,0.48019,0.48024,0.48029
1.7,0.5181,0.51787,0.51776,0.5177,0.51766,0.51763
1.8,0.5553,0.5548,0.55457,0.55443,0.55433,0.55426
1.9,0.59217,0.59128,0.59086,0.5906,0.59042,0.59029
2.0,0.62884,0.62747,0.62681,0.6264,0.6261,0.62588
2.1,0.66529,0.66344,0.66251,0.66191,0.66148,0.66116
2.2,0.70126,0.69907,0.69791,0.69714,0.69658,0.69614
2.3,0.73626,0.7341,0.73283,0.73196,0.7313,0.73078
2.4,0.76952,0.76796,0.76686,0.76603,0.76538,0.76484
2.5,0.79998,0.79981,0.79927,0.79873,0.79825,0.79783
2.6,0.82657,0.82855,0.82905,0.82913,0.82907,0.82894
2.7,0.84848,0.85311,0.85504,0.85607,0.85668,0.85706
2.8,0.86566,0.87288,0.87641,0.87856,0.88003,0.88109
2.9,0.87871,0.8881,0.89306,0.89629,0.89861,0.90039
3.0,0.88848,0.89951,0.90558,0.90968,0.91274,0.91513
3.1,0.89578,0.90795,0.91483,0.91957,0.92316,0.92603
3.2,0.90121,0.91415,0.92158,0.92677,0.93073,0.93393
3.3,0.90523,0.91867,0.92646,0.93193,0.93614,0.93955
3.4,0.90815,0.9219,0.9299,0.93555,0.93991,0.94346
3.5,0.91021,0.92411,0.93223,0.93798,0.94242,0.94604
3.6,0.91157,0.92553,0.93369,0.93947,0.94394,0.94759
3.7,0.91237,0.92629,0.93444,0.94021,0.94468,0.94833
3.8,0.9127,0.92653,0.93462,0.94035,0.94478,0.9484
3.9,0.91263,0.92632,0.93432,0.93998,0.94436,0.94793
4.0,0.91223,0.92574,0.93362,0.93919,0.9435,0.94701
4.1,0.91153,0.92483,0.93257,0.93804,0.94227,0.9457
4.2,0.91058,0.92365,0.93124,0.93659,0.94071,0.94407
4.3,0.90941,0.92222,0.92964,0.93486,0.93889,0.94215
4.4,0.90805,0.92057,0.92781,0.9329,0.93681,0.93998
4.5,0.9065,0.91873,0.92579,0.93073,0.93452,0.9376
4.6,0.9048,0.91672,0.92358,0.92837,0.93204,0.93501
4.7,0.90295,0.91456,0.92121,0.92584,0.92939,0.93225
4.8,0.90096,0.91225,0.91868,0.92316,0.92658,0.92933
4.9,0.89886,0.9098,0.91602,0.92034,0.92362,0.92626
5.0,0.89664,0.90724,0.91323,0.91738,0.92053,0.92305
