,0.5,1.0,1.5,2.0,2.5,3.0
0.5,0.38565,0.3947,0.40016,0.40411,0.40721,0.40976
0.6,0.40065,0.4101,0.41583,0.41998,0.42325,0.42596
0.7,0.4137,0.42331,0.42919,0.43348,0.43686,0.43967
0.8,0.42595,0.43548,0.44138,0.44569,0.44912,0.45197
0.9,0.43832,0.44744,0.45317,0.45741,0.4608,0.46363
1.0,0.45159,0.45985,0.46521,0.46923,0.47247,0.47519
1.1,0.46626,0.47322,0.47795,0.48159,0.48457,0.48711
1.2,0.48238,0.48777,0.49168,0.49479,0.4974,0.49965
1.3,0.51971,0.52026,0.52105,0.522,0.52302,0.52407
1.4,0.57396,0.57399,0.57402,0.57407,0.57412,0.57418
1.5,0.62516,0.62522,0.62524,0.62526,0.62528,0.62529
1.6,0.67347,0.67367,0.67377,0.67382,0.67386,0.67389
1.7,0.71877,0.71936,0.71962,0.71978,0.71989,0.71997
1.8,0.76073,0.76206,0.76267,0.76304,0.7633,0.76349
1.9,0.79899,0.8015,0.80268,0.8034,0.80391,0.80428
2.0,0.83334,0.83741,0.83939,0.84063,0.8415,0.84216
2.1,0.86365,0.86959,0.87257,0.87448,0.87584,0.87687
2.2,0.8899,0.8979,0.90204,0.90473,0.90668,0.90818
2.3,0.91217,0.92225,0.92763,0.93119,0.9338,0.93584
2.4,0.93068,0.94274,0.94934,0.95378,0.95709,0.95969
2.5,0.94584,0.95964,0.96735,0.97263,0.9766,0.97976
2.6,0.95812,0.97337,0.98204,0.98804,0.9926,0.99626
2.7,0.96805,0.98445,0.99389,1.0005,1.0055,1.0096
2.8,0.97605,0.99334,1.0034,1.0105,1.0159,1.0203
2.9,0.9825,1.0005,1.011,1.0184,1.0241,1.0288
3.0,0.98769,1.0061,1.017,1.0247,1.0306,1.0355
3.1,0.99186,1.0106,1.0217,1.0296,1.0357,1.0407
3.2,0.99518,1.0142,1.0254,1.0334,1.0397,1.0447
3.3,0.9978,1.0169,1.0283,1.0364,1.0427,1.0478
3.4,0.99983,1.019,1.0304,1.0385,1.0449,1.0501
3.5,1.0014,1.0206,1.032,1.0401,1.0465,1.0517
3.6,1.0025,1.0217,1.033,1.0412,1.0475,1.0527
3.7,1.0032,1.0223,1.0337,1.0418,1.0481,1.0532
3.8,1.0037,1.0227,1.0339,1.042,1.0482,1.0534
3.9,1.0039,1.0227,1.0339,1.0419,1.0481,1.0532
4.0,1.0038,1.0225,1.0336,1.0415,1.0477,1.0527
4.1,1.0035,1.0221,1.033,1.0409,1.047,1.052
4.2,1.0031,1.0214,1.0323,1.04,1.0461,1.051
4.3,1.0024,1.0206,1.0314,1.039,1.045,1.0498
4.4,1.0017,1.0197,1.0303,1.0378,1.0437,1.0485
4.5,1.0008,1.0186,1.029,1.0365,1.0423,1.047
4.6,0.99979,1.0173,1.0277,1.035,1.0407,1.0454
4.7,0.99869,1.016,1.0262,1.0334,1.0391,1.0437
4.8,0.99749,1.0146,1.0246,1.0318,1.0373,1.0418
4.9,0.99621,1.0131,1.023,1.03,1.0354,1.0399
5.0,0.99485,1.0115,1.0212,1.0282,1.0335,1.0379
